t,G,B,U
24.0,3.0509366304544682e-09,0.0033344190994281137,0.09361587786626599
24.5,1.6726705428846804e-09,0.0031420040788387176,0.09460820251009884
25.0,5.226765553146024e-10,0.0028984828123105413,0.09531548184984638
25.5,-1.4178448458864917e-12,0.002831439730051496,0.09474445694212923
26.0,4.083953852764535e-11,0.0025803936888635997,0.1004750390437976
26.5,4.3308736463461545e-10,0.0024358119204294076,0.09656653611431847
27.0,5.472256200096628e-10,0.0021751857316972194,0.09951387233442885
27.5,1.8351744750386826e-10,0.002029297262862451,0.0996170517914163
28.0,-3.2212237018607224e-10,0.0019030359699760164,0.0989609061730313
28.5,-7.763777308782386e-10,0.0017577774798145259,0.10061304850157886
29.0,-8.527487544999895e-10,0.0016946121189049092,0.1009243704918936
29.5,3.816181856724241e-11,0.0014555135529672131,0.09709040420746824
30.0,1.821480942329573e-09,0.0014487797339465835,0.10132689896596042
30.5,3.5378712824119046e-09,0.0013417798188487076,0.0989606656057489
31.0,4.727468923599338e-09,0.0012341149970391781,0.1024881108238016
31.5,4.444032518568929e-09,0.0011008073156852968,0.09995084344344866
32.0,3.0143284780673824e-09,0.0010181293757011052,0.10142346325694057
32.5,4.202425849181897e-12,0.0009617669486166521,0.09895178173015222
33.0,-3.3570726445569595e-09,0.0009110791655211893,0.10153366967486908
33.5,-5.2131291568002434e-09,0.0008458903587777967,0.09866270320750732
34.0,-4.41739194672629e-09,0.0007702356120991056,0.10246073149481427
34.5,-1.4422002550928033e-09,0.0007360580665200763,0.09678421763286632
35.0,2.792298036943626e-09,0.0006455825896509606,0.09940505683307312
35.5,6.816419639076226e-09,0.0006226578428601961,0.09574578667042938
36.0,9.895255368299455e-09,0.000580469058268077,0.09893041292178692
36.5,7.1922284356137914e-09,0.0005181076363643341,0.0988725664758192
37.0,1.7350014598696845e-09,0.0004898231483458226,0.10131022710584148
37.5,-1.6895120879587895e-09,0.0004692382954719399,0.0967226591658672
38.0,-1.4093015389302025e-09,0.000438986101376795,0.10267357550971608
38.5,7.732968222961059e-10,0.00039007945234265215,0.1003306723366768
39.0,3.080231488891951e-09,0.00035134628177552185,0.10005019467916738
39.5,2.4834604229209557e-09,0.000341652946185367,0.10319195779002396
40.0,1.1356560689423232e-10,0.00032292660925920555,0.10151782309719733
40.5,-1.479930013792974e-09,0.0002998760428638141,0.09678498523896352
41.0,-1.7994313808642238e-09,0.000264131317287992,0.10131350595264633
41.5,-4.2349832380826954e-10,0.0002477868436649107,0.09900612077643206
42.0,9.323263766796716e-11,0.0002340803748843583,0.09738533555480124
42.5,-4.7968070055404216e-11,0.00021989941772094943,0.09836931046411297
43.0,-1.8045635215857872e-10,0.00020588648350063183,0.1032153885820148
43.5,-8.901456096549308e-11,0.00018053113962503581,0.09783082792752708
44.0,-2.725587894017563e-11,0.00017500713623292595,0.09695896451343236
44.5,-1.3925699514086344e-11,0.00015510067835871968,0.10059149276146924
45.0,-2.7827859810308365e-11,0.00014895202492449955,0.09632028099028625
45.5,-2.419695612263599e-11,0.00013485063682109873,0.09830178475671829
46.0,-1.4514236313835683e-11,0.00012980972913226977,0.09811945377589569
46.5,-6.445657399291901e-12,0.00011706511325814145,0.09974910869711756
47.0,-4.300758211393567e-12,0.00010879236420139852,0.09812035421839635
47.5,-6.084317631300232e-12,9.906405459341196e-05,0.10079726817479026
48.0,-1.8706241574363997e-11,9.144111320495594e-05,0.09922164249449526
48.5,-4.265050991505676e-11,8.636568081265525e-05,0.09988020972216631
49.0,-6.544774831927315e-11,8.114582371347106e-05,0.10167270076985138
49.5,-8.106163271078716e-11,7.823373432781394e-05,0.0961189137636446
50.0,-9.249255534459024e-11,7.087617451243395e-05,0.10356372562760004
