t,Ip,Ii,ft
158.0,43.84206,104.31499,-8.344671
159.0,44.038208,104.36305,-8.38592
160.0,44.23985,104.43841,-8.428337
161.0,44.43805,104.45056,-8.473116
162.0,44.63914,104.49948,-8.520691
163.0,44.835785,104.53181,-8.5702505
164.0,45.029716,104.57381,-8.620037
165.0,45.222736,104.6225,-8.668209
166.0,45.41468,104.656906,-8.713692
167.0,45.610657,104.70369,-8.756502
168.0,45.81011,104.760956,-8.797575
169.0,46.013638,104.83607,-8.838291
170.0,46.21772,104.92355,-8.879986
171.0,46.421745,105.03027,-8.923556
172.0,46.621075,105.13986,-8.969255
173.0,46.816742,105.26627,-9.016579
174.0,47.009224,105.41237,-9.064316
175.0,47.199486,105.58913,-9.110666
176.0,47.383324,105.75417,-9.153615
177.0,47.567654,105.92763,-9.191748
178.0,47.758224,106.1528,-9.2254505
179.0,47.952248,106.37617,-9.257776
180.0,48.14866,106.60023,-9.293297
181.0,48.349113,106.83299,-9.33489
182.0,48.53874,107.08693,-9.381393
183.0,48.71812,107.34706,-9.428667
184.0,48.88209,107.56023,-9.472586
185.0,49.045395,107.815216,-9.510865
186.0,49.201393,108.0215,-9.543342
187.0,49.36766,108.294876,-9.571635
188.0,49.52646,108.5244,-9.59839
189.0,49.695877,108.75441,-9.626233
190.0,49.864544,109.015015,-9.65675
191.0,50.023983,109.24353,-9.690023
192.0,50.179317,109.47437,-9.724746
193.0,50.318474,109.695496,-9.758847
194.0,50.455563,109.90606,-9.790268
195.0,50.58813,110.13989,-9.817707
196.0,50.72016,110.377304,-9.841087
197.0,50.845875,110.62456,-9.861633
198.0,50.96963,110.896255,-9.881382
199.0,51.09007,111.15276,-9.902295
200.0,51.21225,111.44786,-9.925323
201.0,51.328583,111.72954,-9.949896
202.0,51.43538,112.00746,-9.974279
203.0,51.53608,112.2986,-9.996509
204.0,51.631508,112.59244,-10.015414
205.0,51.71885,112.866165,-10.031015
206.0,51.80288,113.14546,-10.044279
207.0,51.885735,113.40086,-10.056459
208.0,51.965393,113.68751,-10.068436
209.0,52.03711,113.95425,-10.080442
210.0,52.109962,114.23587,-10.092227
211.0,52.174698,114.50935,-10.103292
212.0,52.23267,114.78595,-10.113191
213.0,52.28508,115.03539,-10.121632
214.0,52.333054,115.29564,-10.128502
215.0,52.374672,115.55586,-10.133871
216.0,52.4132,115.79735,-10.137884
217.0,52.446507,116.02025,-10.140742
218.0,52.478077,116.24553,-10.142641
219.0,52.501125,116.43546,-10.143723
220.0,52.522614,116.64948,-10.1440525
221.0,52.534904,116.8255,-10.143602
222.0,52.54656,117.00805,-10.142268
223.0,52.55268,117.19241,-10.139932
224.0,52.552963,117.36159,-10.136486
225.0,52.552296,117.54727,-10.131922
226.0,52.542976,117.71727,-10.12634
227.0,52.53124,117.88785,-10.119913
228.0,52.518555,118.081985,-10.112801
229.0,52.499138,118.24943,-10.105072
230.0,52.478096,118.42891,-10.096655
231.0,52.447727,118.60101,-10.08738
232.0,52.420376,118.768745,-10.077141
233.0,52.383194,118.903824,-10.066015
234.0,52.34374,119.0293,-10.054306
235.0,52.309017,119.1908,-10.0422735
236.0,52.264385,119.3272,-10.029871
237.0,52.213276,119.421814,-10.016827
238.0,52.166584,119.58241,-10.003044
239.0,52.11235,119.68803,-9.988481
240.0,52.06005,119.82141,-9.972637
241.0,52.00403,119.89606,-9.95576
242.0,51.94896,119.99797,-9.940296
243.0,51.889324,120.03407,-9.927696
244.0,51.821293,120.07893,-9.91512
245.0,51.748642,120.10489,-9.899044
246.0,51.67812,120.117874,-9.879234
247.0,51.610497,120.160225,-9.857809
248.0,51.537785,120.20125,-9.836935
249.0,51.46754,120.220184,-9.817763
250.0,51.397495,120.25306,-9.8004
251.0,51.32997,120.28955,-9.784258
252.0,51.2542,120.31817,-9.768484
253.0,51.17805,120.35246,-9.752298
254.0,51.09597,120.378105,-9.735217
255.0,51.014706,120.424255,-9.717126
256.0,50.93421,120.45084,-9.698237
257.0,50.853447,120.448944,-9.678952
258.0,50.779358,120.480804,-9.659707
259.0,50.702583,120.488594,-9.640851
260.0,50.62481,120.47886,-9.622574
261.0,50.5458,120.48079,-9.60488
262.0,50.466442,120.45282,-9.587665
263.0,50.388557,120.42678,-9.570749
264.0,50.307804,120.400764,-9.553962
265.0,50.230217,120.35535,-9.537205
266.0,50.150032,120.29222,-9.520443
267.0,50.07619,120.249725,-9.503722
268.0,50.00274,120.20857,-9.48714
269.0,49.92989,120.14749,-9.470817
270.0,49.857086,120.04903,-9.454851
271.0,49.785133,119.96514,-9.43932
272.0,49.714325,119.88124,-9.42425
273.0,49.644527,119.78377,-9.409627
274.0,49.575333,119.68028,-9.395405
275.0,49.506546,119.557144,-9.381515
276.0,49.439014,119.45259,-9.367879
277.0,49.3778,119.3366,-9.354437
278.0,49.312675,119.20265,-9.341145
279.0,49.254887,119.08659,-9.327996
280.0,49.193542,118.94916,-9.315045
281.0,49.134026,118.8036,-9.30239
282.0,49.079178,118.698135,-9.290176
283.0,49.02538,118.604996,-9.27858
284.0,48.971188,118.505066,-9.267752
285.0,48.917625,118.42635,-9.257782
286.0,48.86557,118.35814,-9.248643
287.0,48.82051,118.3476,-9.240173
288.0,48.77306,118.37224,-9.23212
289.0,48.726967,118.43356,-9.224235
290.0,48.68775,118.54712,-9.216426
291.0,48.646564,118.7213,-9.208927
292.0,48.6063,118.96144,-9.202351
293.0,48.57711,119.26733,-9.197579
294.0,48.54176,119.62039,-9.195253
295.0,48.50483,120.0397,-9.194802
296.0,48.45807,120.51027,-9.1928835
297.0,48.414764,120.99152,-9.181609
298.0,48.367386,121.47317,-9.148361
299.0,48.38227,121.90254,-9.082868
300.0,48.37137,122.12934,-9.006467
301.0,49.11995,122.348175,-9.044571
302.0,51.449898,122.45801,-9.473495
303.0,54.81416,122.453156,-10.463282
304.0,59.157207,122.640114,-11.781361
305.0,64.56298,122.98853,-13.150483
306.0,71.37225,123.51663,-14.568637
307.0,79.61274,124.34501,-16.258453
308.0,89.09625,125.57038,-18.44161
309.0,99.61236,127.53558,-21.060795
310.0,111.21384,130.34076,-23.85656
311.0,123.894394,134.05386,-26.622025
312.0,138.19733,138.53172,-29.430338
313.0,153.53384,143.77563,-32.90043
314.0,169.93544,150.15851,-37.010674
315.0,186.31374,157.69485,-40.995815
316.0,203.66313,166.20105,-44.68981
317.0,221.77011,175.6849,-48.399666
318.0,240.09918,186.16553,-52.512882
319.0,258.21588,197.46393,-56.820827
320.0,275.6592,209.75412,-60.873642
321.0,292.3824,222.8016,-64.513275
322.0,308.2842,236.63719,-67.798325
323.0,323.19675,251.10925,-70.842316
324.0,336.60574,266.15765,-73.63622
325.0,348.1471,281.39664,-76.05013
326.0,357.54514,296.78802,-77.97588
327.0,364.6015,312.35007,-79.36116
328.0,369.00385,327.71182,-80.173706
329.0,370.61993,342.79205,-80.37847
330.0,369.43744,357.5629,-79.93571
331.0,365.44254,371.72253,-78.815765
332.0,358.9428,385.22427,-77.025
333.0,350.32632,397.79282,-74.62767
334.0,339.88684,409.34943,-71.75398
335.0,328.082,419.8313,-68.59968
336.0,315.03586,429.16925,-65.36309
337.0,301.07465,437.4066,-62.109818
338.0,286.2981,444.53735,-58.789143
339.0,271.05103,450.53943,-55.367245
340.0,255.95654,455.48193,-51.857212
341.0,241.14857,459.3619,-48.29472
342.0,226.59831,462.1151,-44.735752
343.0,213.04184,463.81158,-41.279255
344.0,200.22101,464.53116,-38.076397
345.0,188.24431,464.40564,-35.24686
346.0,176.957,463.51602,-32.746708
347.0,166.15395,461.97626,-30.41527
348.0,156.10242,459.60504,-28.148376
349.0,146.78987,456.62885,-25.969185
350.0,138.35089,453.0436,-23.972023
351.0,130.61682,449.12494,-22.215948
352.0,123.4993,444.8585,-20.6721
353.0,116.88017,440.35916,-19.272259
354.0,110.815445,435.74835,-17.973362
355.0,105.237175,430.9586,-16.768229
356.0,100.15352,425.95053,-15.663441
357.0,95.512985,420.64603,-14.661616
358.0,91.29866,415.3013,-13.757932
359.0,87.42296,409.66525,-12.943936
360.0,83.88577,403.86194,-12.211116
361.0,80.60922,397.95547,-11.5519085
362.0,77.574234,391.98907,-10.959084
363.0,74.81807,385.97095,-10.425243
364.0,72.286766,379.9229,-9.942922
365.0,69.930664,373.88297,-9.505116
366.0,67.75426,367.88135,-9.106
367.0,65.73397,361.95642,-8.741138
368.0,63.84899,356.0792,-8.407367
369.0,62.092773,350.22394,-8.102447
370.0,60.4603,344.47482,-7.8245096
371.0,58.9362,338.7956,-7.571783
372.0,57.519394,333.1675,-7.342248
373.0,56.191208,327.66348,-7.1336517
374.0,54.934162,322.13995,-6.9434967
375.0,53.751907,316.77213,-6.769346
376.0,52.642223,311.4519,-6.6090164
377.0,51.59811,306.19,-6.4608917
378.0,50.61715,301.05215,-6.3239937
379.0,49.687572,295.94327,-6.1977825
380.0,48.81118,291.0187,-6.0819426
381.0,47.97402,286.14163,-5.9760723
382.0,47.18553,281.3526,-5.879614
383.0,46.437977,276.60547,-5.791848
384.0,45.730392,272.01624,-5.711953
385.0,45.059456,267.47113,-5.639098
386.0,44.421185,263.0658,-5.572527
387.0,43.814373,258.6739,-5.5115805
388.0,43.23366,254.33203,-5.4557247
389.0,42.682957,250.14699,-5.4045563
390.0,42.1593,246.02509,-5.3577776
391.0,41.661407,241.92024,-5.315199
392.0,41.186962,237.8917,-5.27672
393.0,40.738087,233.99524,-5.2423124
394.0,40.31314,230.11981,-5.2119865
395.0,39.90883,226.33768,-5.185814
396.0,39.527813,222.59624,-5.1638823
397.0,39.170464,218.95824,-5.1463118
398.0,38.83871,215.38422,-5.1332607
399.0,38.532433,211.92554,-5.1249332
400.0,38.253235,208.52963,-5.1216
401.0,38.002655,205.19492,-5.123645
402.0,37.789097,202.00536,-5.1315775
403.0,37.606747,198.86078,-5.146078
404.0,37.461437,195.8206,-5.1679945
405.0,37.36219,192.85576,-5.198333
406.0,37.305202,189.98288,-5.238229
407.0,37.304737,187.19092,-5.2888765
408.0,37.358574,184.49684,-5.3514633
409.0,37.476715,181.88878,-5.427086
410.0,37.659634,179.3563,-5.5167294
411.0,37.90947,176.88309,-5.621215
412.0,38.233883,174.50218,-5.741214
413.0,38.63239,172.21265,-5.877288
414.0,39.112896,169.98837,-6.029871
415.0,39.669155,167.86328,-6.199356
416.0,40.307518,165.81969,-6.3860397
417.0,41.031075,163.87454,-6.590205
418.0,41.836815,162.00772,-6.8120346
