t,Ip,Ii,gt
155.0,43.287556,104.36171,-0.047588706
156.0,43.474804,104.32173,-0.03291762
157.0,43.660973,104.28826,-0.019511104
158.0,43.85072,104.27988,-0.0076789856
159.0,44.04314,104.26422,0.0025856495
160.0,44.239666,104.32277,0.011598349
161.0,44.43376,104.31735,0.019895554
162.0,44.63029,104.34334,0.028106809
163.0,44.825695,104.37135,0.036821723
164.0,45.024727,104.44581,0.04647255
165.0,45.2217,104.48659,0.057257533
166.0,45.421604,104.570465,0.06910062
167.0,45.62159,104.62951,0.08168113
168.0,45.821854,104.71435,0.0945251
169.0,46.023163,104.815674,0.10718429
170.0,46.223186,104.950226,0.119427085
171.0,46.421,105.06272,0.13137615
172.0,46.615414,105.19379,0.14346075
173.0,46.809372,105.330536,0.15615165
174.0,47.004692,105.52398,0.16957128
175.0,47.200024,105.67276,0.18324661
176.0,47.396183,105.87198,0.1961801
177.0,47.58982,106.06241,0.20720875
178.0,47.778458,106.27467,0.21539068
179.0,47.968903,106.50841,0.22018075
180.0,48.15115,106.71658,0.22138822
181.0,48.333694,106.93605,0.21898651
182.0,48.511425,107.14537,0.21303952
183.0,48.690693,107.346535,0.20389509
184.0,48.871407,107.55063,0.19258046
185.0,49.046135,107.741936,0.18116903
186.0,49.211975,107.905464,0.17275846
187.0,49.380386,108.07247,0.17078924
188.0,49.542965,108.2527,0.17782271
189.0,49.70643,108.42714,0.19436073
190.0,49.86222,108.63472,0.21847188
191.0,50.012238,108.86537,0.24648559
192.0,50.164078,109.10084,0.2742796
193.0,50.31329,109.40104,0.29843473
194.0,50.457645,109.70952,0.31674063
195.0,50.595387,110.03441,0.32813716
196.0,50.723053,110.36864,0.3323431
197.0,50.849754,110.70579,0.3295467
198.0,50.975494,111.05719,0.3202908
199.0,51.094223,111.35745,0.3055905
200.0,51.21178,111.63779,0.2870798
201.0,51.32321,111.93291,0.26713634
202.0,51.432503,112.195816,0.24861336
203.0,51.532623,112.44253,0.23428965
204.0,51.631454,112.68485,0.22613907
205.0,51.723362,112.89662,0.22482932
206.0,51.813328,113.15065,0.2296226
207.0,51.896435,113.39259,0.23869562
208.0,51.973717,113.6597,0.24972951
209.0,52.044334,113.89645,0.2604214
210.0,52.11057,114.17801,0.26884866
211.0,52.170944,114.44513,0.2736534
212.0,52.23498,114.74228,0.27413464
213.0,52.285435,115.018295,0.270208
214.0,52.33223,115.29997,0.2622862
215.0,52.378902,115.57303,0.2511294
216.0,52.417038,115.836464,0.23767519
217.0,52.448364,116.0547,0.22293139
218.0,52.48136,116.28742,0.20793974
219.0,52.50312,116.4906,0.19374204
220.0,52.526154,116.689545,0.18134737
221.0,52.5401,116.880295,0.17159593
222.0,52.55174,117.05669,0.16497695
223.0,52.554306,117.21335,0.1614567
224.0,52.55546,117.37984,0.16048014
225.0,52.55581,117.55557,0.16133535
226.0,52.550556,117.73411,0.1637454
227.0,52.53994,117.90262,0.16817641
228.0,52.521008,118.07417,0.17515707
229.0,52.502243,118.25763,0.1838696
230.0,52.479816,118.443924,0.19179368
231.0,52.456375,118.66191,0.19602299
232.0,52.423622,118.85494,0.1945343
233.0,52.39173,119.04211,0.18628418
234.0,52.355484,119.22174,0.17084813
235.0,52.314198,119.38668,0.14834058
236.0,52.269318,119.5403,0.119639635
237.0,52.218727,119.65683,0.086657286
238.0,52.16629,119.711334,0.052616477
239.0,52.118244,119.7661,0.022126079
240.0,52.065445,119.75803,0.00071668625
241.0,52.013412,119.77867,-0.0066343546
242.0,51.954674,119.75376,0.0021024942
243.0,51.889397,119.77861,0.024221897
244.0,51.82097,119.824326,0.0529083
245.0,51.74975,119.899216,0.080155194
246.0,51.68222,120.00322,0.09952301
247.0,51.612827,120.10643,0.10753888
248.0,51.540985,120.20401,0.104132354
249.0,51.47366,120.31606,0.09218484
250.0,51.3984,120.407616,0.07611805
251.0,51.32218,120.46254,0.060118437
252.0,51.24791,120.54909,0.04681325
253.0,51.171104,120.58165,0.036773205
254.0,51.096138,120.616455,0.02887237
255.0,51.01479,120.64888,0.021182299
256.0,50.936962,120.65728,0.011983514
257.0,50.855278,120.645164,0.00044381618
258.0,50.7783,120.65611,-0.013208628
259.0,50.70125,120.65152,-0.027976274
260.0,50.622482,120.62515,-0.042547107
261.0,50.542973,120.575455,-0.055709124
262.0,50.467766,120.526306,-0.06659597
263.0,50.388508,120.456245,-0.07476193
264.0,50.311947,120.395836,-0.080137074
265.0,50.23185,120.300385,-0.08293623
266.0,50.153328,120.211685,-0.08354193
267.0,50.0817,120.157875,-0.082427084
268.0,50.006508,120.07852,-0.08006692
269.0,49.932926,119.99654,-0.07691538
270.0,49.85881,119.91699,-0.073369145
271.0,49.787235,119.867836,-0.06975937
272.0,49.71844,119.79727,-0.06634879
273.0,49.64768,119.74094,-0.06333625
274.0,49.578205,119.673676,-0.060863614
275.0,49.512623,119.624466,-0.059018254
276.0,49.44673,119.586754,-0.057849884
277.0,49.38225,119.52747,-0.05736673
278.0,49.32135,119.49875,-0.05755377
279.0,49.260296,119.42237,-0.058377206
280.0,49.201317,119.37807,-0.05979401
281.0,49.142456,119.32123,-0.06175202
282.0,49.084297,119.24658,-0.0642069
283.0,49.03129,119.197914,-0.06711012
284.0,48.976242,119.1378,-0.07041937
285.0,48.92475,119.06974,-0.074086785
286.0,48.87465,119.00293,-0.078039646
287.0,48.8284,118.91301,-0.08215582
288.0,48.783127,118.84225,-0.08621061
289.0,48.73781,118.74609,-0.08980346
290.0,48.6964,118.66072,-0.09227872
291.0,48.656273,118.57057,-0.09265435
292.0,48.61698,118.46623,-0.089624524
293.0,48.57801,118.39526,-0.08180356
294.0,48.533688,118.30441,-0.0682801
295.0,48.499527,118.24744,-0.049481273
296.0,48.481976,118.20096,-0.02783662
297.0,48.49532,118.188866,-0.0073128343
298.0,48.548424,118.198875,0.008425534
299.0,48.6885,118.18681,0.017629325
300.0,48.376144,118.373825,0.020589292
301.0,49.344242,118.29161,0.021579564
302.0,51.242252,118.42977,0.034899592
303.0,54.449112,118.46016,0.0873481
304.0,58.876747,118.602844,0.21136498
305.0,64.55861,118.91202,0.4364146
306.0,71.47185,119.51348,0.7835021
307.0,79.601166,120.49421,1.2590498
308.0,88.91373,122.04683,1.8516729
309.0,99.45835,124.218,2.551835
310.0,111.13783,127.18201,3.3927684
311.0,123.8876,131.04138,4.3960505
312.0,138.16284,135.915,5.4633856
313.0,153.07944,142.02464,6.4993424
314.0,169.68109,148.82162,7.499982
315.0,186.36429,156.88853,8.463694
316.0,203.76086,165.73605,9.352594
317.0,221.27888,175.53151,10.161396
318.0,239.32071,186.06903,10.935062
319.0,257.63068,197.40652,11.7259865
320.0,275.55084,209.52654,12.544198
