t,Ip,Ii,ft
157.0,43.660973,104.28826,-8.293319
158.0,43.85072,104.27988,-8.337861
159.0,44.04314,104.26422,-8.382296
160.0,44.239666,104.32277,-8.426779
161.0,44.43376,104.31735,-8.471538
162.0,44.63029,104.34334,-8.516725
163.0,44.825695,104.37135,-8.562318
164.0,45.024727,104.44581,-8.608089
165.0,45.2217,104.48659,-8.653686
166.0,45.421604,104.570465,-8.698784
167.0,45.62159,104.62951,-8.743234
168.0,45.821854,104.71435,-8.787137
169.0,46.023163,104.815674,-8.830793
170.0,46.223186,104.950226,-8.874544
171.0,46.421,105.06272,-8.918571
172.0,46.615414,105.19379,-8.962788
173.0,46.809372,105.330536,-9.006831
174.0,47.004692,105.52398,-9.050241
175.0,47.200024,105.67276,-9.0927
176.0,47.396183,105.87198,-9.134176
177.0,47.58982,106.06241,-9.174924
178.0,47.778458,106.27467,-9.215311
179.0,47.968903,106.50841,-9.255615
180.0,48.15115,106.71658,-9.295809
181.0,48.333694,106.93605,-9.335522
182.0,48.511425,107.14537,-9.374176
183.0,48.690693,107.346535,-9.411363
184.0,48.871407,107.55063,-9.447235
185.0,49.046135,107.741936,-9.482582
186.0,49.211975,107.905464,-9.518272
187.0,49.380386,108.07247,-9.55444
188.0,49.542965,108.2527,-9.590216
189.0,49.70643,108.42714,-9.624386
190.0,49.86222,108.63472,-9.656378
191.0,50.012238,108.86537,-9.686632
192.0,50.164078,109.10084,-9.716158
193.0,50.31329,109.40104,-9.745731
194.0,50.457645,109.70952,-9.77541
195.0,50.595387,110.03441,-9.804542
196.0,50.723053,110.36864,-9.832177
197.0,50.849754,110.70579,-9.857568
198.0,50.975494,111.05719,-9.880539
199.0,51.094223,111.35745,-9.901552
200.0,51.21178,111.63779,-9.921509
201.0,51.32321,111.93291,-9.941212
202.0,51.432503,112.195816,-9.961031
203.0,51.532623,112.44253,-9.980761
204.0,51.631454,112.68485,-9.999853
205.0,51.723362,112.89662,-10.017733
206.0,51.813328,113.15065,-10.034054
207.0,51.896435,113.39259,-10.048738
208.0,51.973717,113.6597,-10.061875
209.0,52.044334,113.89645,-10.073641
210.0,52.11057,114.17801,-10.084244
211.0,52.170944,114.44513,-10.093888
212.0,52.23498,114.74228,-10.102721
213.0,52.285435,115.018295,-10.110777
214.0,52.33223,115.29997,-10.117959
215.0,52.378902,115.57303,-10.124092
216.0,52.417038,115.836464,-10.129004
217.0,52.448364,116.0547,-10.132622
218.0,52.48136,116.28742,-10.135026
219.0,52.50312,116.4906,-10.1363945
220.0,52.526154,116.689545,-10.136879
221.0,52.5401,116.880295,-10.136501
222.0,52.55174,117.05669,-10.13516
223.0,52.554306,117.21335,-10.13279
224.0,52.55546,117.37984,-10.129528
225.0,52.55581,117.55557,-10.125675
226.0,52.550556,117.73411,-10.121317
227.0,52.53994,117.90262,-10.11601
228.0,52.521008,118.07417,-10.109175
229.0,52.502243,118.25763,-10.100906
230.0,52.479816,118.443924,-10.091771
231.0,52.456375,118.66191,-10.081837
232.0,52.423622,118.85494,-10.070885
233.0,52.39173,119.04211,-10.059427
234.0,52.355484,119.22174,-10.048557
235.0,52.314198,119.38668,-10.038674
236.0,52.269318,119.5403,-10.028696
237.0,52.218727,119.65683,-10.016743
238.0,52.16629,119.711334,-10.001595
239.0,52.118244,119.7661,-9.9840145
240.0,52.065445,119.75803,-9.966772
241.0,52.013412,119.77867,-9.952879
242.0,51.954674,119.75376,-9.942541
243.0,51.889397,119.77861,-9.9317
244.0,51.82097,119.824326,-9.915632
245.0,51.74975,119.899216,-9.894712
246.0,51.68222,120.00322,-9.873963
247.0,51.612827,120.10643,-9.856694
248.0,51.540985,120.20401,-9.841582
249.0,51.47366,120.31606,-9.825671
250.0,51.3984,120.407616,-9.807651
251.0,51.32218,120.46254,-9.788233
252.0,51.24791,120.54909,-9.768864
253.0,51.171104,120.58165,-9.750515
254.0,51.096138,120.616455,-9.733276
255.0,51.01479,120.64888,-9.716534
256.0,50.936962,120.65728,-9.699483
257.0,50.855278,120.645164,-9.681573
258.0,50.7783,120.65611,-9.662722
259.0,50.70125,120.65152,-9.643257
260.0,50.622482,120.62515,-9.623703
261.0,50.542973,120.575455,-9.6045475
262.0,50.467766,120.526306,-9.586093
263.0,50.388508,120.456245,-9.568438
264.0,50.311947,120.395836,-9.551485
265.0,50.23185,120.300385,-9.535053
266.0,50.153328,120.211685,-9.518932
267.0,50.0817,120.157875,-9.502936
268.0,50.006508,120.07852,-9.486956
269.0,49.932926,119.99654,-9.470941
270.0,49.85881,119.91699,-9.454917
271.0,49.787235,119.867836,-9.4389515
272.0,49.71844,119.79727,-9.42314
273.0,49.64768,119.74094,-9.407587
