t,Ip,Ii,ft
0.0,35.998653,43.997257,-10.104349
1.0,38.728294,43.946922,-8.226479
2.0,41.0757,44.84233,-8.7194805
3.0,43.117317,46.238556,-9.191225
4.0,44.913948,47.901424,-9.568689
5.0,46.52143,49.70565,-9.919603
6.0,47.9832,51.61004,-10.228603
7.0,49.316116,53.57363,-10.506172
8.0,50.559456,55.58073,-10.763687
9.0,51.724586,57.61678,-11.0052805
10.0,52.833176,59.674282,-11.232046
11.0,53.882683,61.713337,-11.444967
12.0,54.8898,63.740646,-11.645672
13.0,55.854683,65.731155,-11.836198
14.0,56.796005,67.71247,-12.018571
15.0,57.706333,69.64816,-12.1944895
16.0,58.590584,71.56151,-12.365129
17.0,59.447,73.43824,-12.53112
18.0,60.28689,75.32066,-12.692575
19.0,61.103157,77.1904,-12.84919
20.0,61.890617,79.03541,-13.000418
21.0,62.654102,80.8775,-13.145716
22.0,63.40066,82.72838,-13.284811
23.0,64.12285,84.561676,-13.417891
24.0,64.82636,86.397,-13.545506
25.0,65.490974,88.21101,-13.668145
26.0,66.13567,90.02477,-13.785778
27.0,66.75469,91.85559,-13.897789
28.0,67.352905,93.71539,-14.003397
29.0,67.91172,95.55166,-14.102083
30.0,68.45258,97.43799,-14.193756
31.0,68.94821,99.28154,-14.27862
32.0,69.43181,101.1523,-14.356924
33.0,69.87122,102.97657,-14.428783
34.0,70.28894,104.81073,-14.494062
35.0,70.66803,106.58388,-14.552362
36.0,71.009476,108.313705,-14.603188
37.0,71.3215,110.00401,-14.646105
38.0,71.59714,111.65167,-14.680929
39.0,71.84605,113.26077,-14.707773
40.0,72.04697,114.80855,-14.726957
41.0,72.23018,116.34087,-14.73881
42.0,72.35994,117.78604,-14.743488
43.0,72.46274,119.243454,-14.740881
44.0,72.52505,120.656204,-14.730633
45.0,72.55127,122.05147,-14.7123165
46.0,72.53995,123.408936,-14.6855755
47.0,72.4915,124.71356,-14.650272
48.0,72.41644,126.02571,-14.606546
49.0,72.29656,127.30847,-14.554762
50.0,72.13468,128.54333,-14.49535
51.0,71.94612,129.76305,-14.428671
52.0,71.71402,130.89478,-14.354889
53.0,71.45558,132.01865,-14.273968
