t,Ip,Ii,ft
158.0,43.848083,104.159256,-8.336167
159.0,44.04137,104.15704,-8.381617
160.0,44.236027,104.14125,-8.427602
161.0,44.43301,104.16571,-8.473822
162.0,44.627213,104.18393,-8.519921
163.0,44.825787,104.23039,-8.56558
164.0,45.02304,104.28345,-8.610615
165.0,45.21955,104.33949,-8.655029
166.0,45.42,104.43329,-8.699027
167.0,45.617996,104.500206,-8.742929
168.0,45.81716,104.63144,-8.787059
169.0,46.01822,104.748474,-8.831589
170.0,46.2172,104.891655,-8.876445
171.0,46.415703,105.03372,-8.921285
172.0,46.611496,105.21158,-8.965623
173.0,46.807243,105.40379,-9.009056
174.0,47.004486,105.59867,-9.051485
175.0,47.200813,105.80771,-9.093186
176.0,47.391502,105.997406,-9.134649
177.0,47.583122,106.240295,-9.176172
178.0,47.773087,106.42491,-9.217599
179.0,47.962936,106.64961,-9.258376
180.0,48.14643,106.81522,-9.297952
181.0,48.33137,107.008286,-9.336225
182.0,48.51136,107.17569,-9.373636
183.0,48.6923,107.34749,-9.410854
184.0,48.867702,107.525635,-9.448279
185.0,49.043118,107.71646,-9.485708
186.0,49.210712,107.91875,-9.52239
187.0,49.379974,108.14476,-9.557516
188.0,49.54339,108.36102,-9.590878
189.0,49.702656,108.61304,-9.623088
190.0,49.861626,108.865974,-9.654989
191.0,50.014828,109.12244,-9.686729
192.0,50.164043,109.37386,-9.7176075
193.0,50.308746,109.62294,-9.74705
194.0,50.452385,109.90085,-9.775297
195.0,50.58834,110.1814,-9.802835
196.0,50.722935,110.43695,-9.829672
197.0,50.851883,110.704666,-9.8554325
198.0,50.974518,110.98229,-9.879847
199.0,51.09873,111.24097,-9.902953
200.0,51.214073,111.5073,-9.92499
201.0,51.32536,111.79283,-9.946124
202.0,51.42928,112.07063,-9.966333
203.0,51.532524,112.37524,-9.98545
204.0,51.63008,112.68822,-10.003305
205.0,51.722134,112.988846,-10.019835
206.0,51.81145,113.30409,-10.035151
207.0,51.89551,113.623985,-10.049456
208.0,51.975452,113.90998,-10.062918
209.0,52.044907,114.17253,-10.075558
210.0,52.110264,114.42389,-10.087227
211.0,52.173668,114.684685,-10.097686
212.0,52.232166,114.92394,-10.106718
213.0,52.287983,115.142944,-10.11425
214.0,52.33793,115.35054,-10.120374
215.0,52.38109,115.53133,-10.125318
216.0,52.417496,115.683105,-10.129338
217.0,52.454315,115.86273,-10.1326275
218.0,52.483284,116.034935,-10.135255
219.0,52.507,116.219444,-10.137159
220.0,52.527493,116.39212,-10.138197
221.0,52.541534,116.59761,-10.138209
222.0,52.550507,116.80545,-10.13709
223.0,52.55652,117.009674,-10.134832
224.0,52.557674,117.22186,-10.131534
225.0,52.554577,117.45204,-10.127376
226.0,52.55214,117.69883,-10.122548
227.0,52.539246,117.92137,-10.11717
228.0,52.52617,118.155426,-10.111213
229.0,52.507042,118.40018,-10.104496
230.0,52.481743,118.6261,-10.0967655
231.0,52.453346,118.84624,-10.08786
232.0,52.425972,119.08236,-10.07788
233.0,52.390312,119.26236,-10.067162
234.0,52.353737,119.44374,-10.05609
235.0,52.31304,119.57827,-10.044839
236.0,52.26858,119.66554,-10.033236
237.0,52.22458,119.72566,-10.020964
238.0,52.171814,119.73256,-10.007816
239.0,52.11786,119.692955,-9.993856
240.0,52.067,119.66464,-9.97927
241.0,52.007545,119.573975,-9.9641075
242.0,51.95005,119.518654,-9.948154
243.0,51.8868,119.452576,-9.931239
244.0,51.82059,119.42708,-9.913816
245.0,51.757812,119.462616,-9.897066
246.0,51.68854,119.52081,-9.881813
247.0,51.6181,119.61773,-9.8670635
248.0,51.54922,119.771545,-9.850534
249.0,51.47583,119.944466,-9.83126
250.0,51.39981,120.117645,-9.810932
251.0,51.327843,120.30838,-9.791976
252.0,51.25238,120.47505,-9.775135
253.0,51.17523,120.61326,-9.75928
254.0,51.098915,120.73032,-9.742803
255.0,51.01722,120.81299,-9.724836
256.0,50.93924,120.87603,-9.705522
257.0,50.85948,120.86502,-9.685596
258.0,50.783173,120.85617,-9.665879
259.0,50.70778,120.808044,-9.646915
260.0,50.62312,120.694466,-9.628869
261.0,50.544323,120.598465,-9.611609
262.0,50.46665,120.495285,-9.594846
263.0,50.385902,120.38047,-9.578251
