t,Ip,Ii,gt
156.0,43.472866,104.26976,-0.06121528
157.0,43.660088,104.216805,-0.045948982
158.0,43.848083,104.159256,-0.030667067
159.0,44.04137,104.15704,-0.015406489
160.0,44.236027,104.14125,-0.0002477169
161.0,44.43301,104.16571,0.014708757
162.0,44.627213,104.18393,0.029374242
163.0,44.825787,104.23039,0.04371643
164.0,45.02304,104.28345,0.057792902
165.0,45.21955,104.33949,0.07176262
166.0,45.42,104.43329,0.08586609
167.0,45.617996,104.500206,0.10036516
168.0,45.81716,104.63144,0.11546147
169.0,46.01822,104.748474,0.13120925
170.0,46.2172,104.891655,0.14743245
171.0,46.415703,105.03372,0.1636796
172.0,46.611496,105.21158,0.1792168
173.0,46.807243,105.40379,0.19308597
174.0,47.004486,105.59867,0.20420825
175.0,47.200813,105.80771,0.21155405
176.0,47.391502,105.997406,0.21436048
177.0,47.583122,106.240295,0.21236795
178.0,47.773087,106.42491,0.20605111
179.0,47.962936,106.64961,0.19674176
180.0,48.14643,106.81522,0.18653154
181.0,48.33137,107.008286,0.17790544
182.0,48.51136,107.17569,0.17314541
183.0,48.6923,107.34749,0.17374963
184.0,48.867702,107.525635,0.18009663
185.0,49.043118,107.71646,0.19143987
186.0,49.210712,107.91875,0.20611209
187.0,49.379974,108.14476,0.22181785
188.0,49.54339,108.36102,0.23606932
189.0,49.702656,108.61304,0.2468633
190.0,49.861626,108.865974,0.25359428
191.0,50.014828,109.12244,0.257567
192.0,50.164043,109.37386,0.26107776
193.0,50.308746,109.62294,0.2653029
194.0,50.452385,109.90085,0.2693339
195.0,50.58834,110.1814,0.27164042
196.0,50.722935,110.43695,0.2718904
197.0,50.851883,110.704666,0.27120674
198.0,50.974518,110.98229,0.27128196
199.0,51.09873,111.24097,0.27349424
200.0,51.214073,111.5073,0.27844596
201.0,51.32536,111.79283,0.28586328
202.0,51.42928,112.07063,0.2946899
203.0,51.532524,112.37524,0.3033296
204.0,51.63008,112.68822,0.30999094
205.0,51.722134,112.988846,0.31306976
206.0,51.81145,113.30409,0.3114922
207.0,51.89551,113.623985,0.30487812
208.0,51.975452,113.90998,0.29354823
209.0,52.044907,114.17253,0.27836955
210.0,52.110264,114.42389,0.26056457
211.0,52.173668,114.684685,0.24152386
212.0,52.232166,114.92394,0.2226702
213.0,52.287983,115.142944,0.20536757
214.0,52.33793,115.35054,0.19083643
215.0,52.38109,115.53133,0.18006873
216.0,52.417496,115.683105,0.17374372
217.0,52.454315,115.86273,0.17213523
218.0,52.483284,116.034935,0.17505056
219.0,52.507,116.219444,0.1818133
220.0,52.527493,116.39212,0.19130915
221.0,52.541534,116.59761,0.20211482
222.0,52.550507,116.80545,0.21271002
223.0,52.55652,117.009674,0.22175783
224.0,52.557674,117.22186,0.22839642
225.0,52.554577,117.45204,0.2324276
226.0,52.55214,117.69883,0.23430216
227.0,52.539246,117.92137,0.23484182
228.0,52.52617,118.155426,0.23473018
229.0,52.507042,118.40018,0.23395681
230.0,52.481743,118.6261,0.23144162
231.0,52.453346,118.84624,0.22506428
232.0,52.425972,119.08236,0.21218264
233.0,52.390312,119.26236,0.19053894
234.0,52.353737,119.44374,0.15924335
235.0,52.31304,119.57827,0.119461894
236.0,52.26858,119.66554,0.074445546
237.0,52.22458,119.72566,0.028868437
238.0,52.171814,119.73256,-0.012233734
239.0,52.11786,119.692955,-0.044459224
240.0,52.067,119.66464,-0.06457853
241.0,52.007545,119.573975,-0.07058942
242.0,51.95005,119.518654,-0.06158638
243.0,51.8868,119.452576,-0.037847638
244.0,51.82059,119.42708,-0.001419425
245.0,51.757812,119.462616,0.043167174
246.0,51.68854,119.52081,0.089123785
247.0,51.6181,119.61773,0.129363
248.0,51.54922,119.771545,0.159194
249.0,51.47583,119.944466,0.17706347
250.0,51.39981,120.117645,0.18297762
251.0,51.327843,120.30838,0.17725801
252.0,51.25238,120.47505,0.16071022
253.0,51.17523,120.61326,0.1350224
254.0,51.098915,120.73032,0.10267913
255.0,51.01722,120.81299,0.066536784
256.0,50.93924,120.87603,0.029396892
257.0,50.85948,120.86502,-0.0063000917
258.0,50.783173,120.85617,-0.03862095
259.0,50.70778,120.808044,-0.06618297
260.0,50.62312,120.694466,-0.088137865
