t,Ip,Ii,gt
0.0,35.998653,43.997257,-0.3100772
1.0,38.728294,43.946922,0.5406387
2.0,41.0757,44.84233,1.1853421
3.0,43.117317,46.238556,1.5534362
4.0,44.913948,47.901424,1.7462239
5.0,46.52143,49.70565,1.8587571
6.0,47.9832,51.61004,1.9340377
7.0,49.316116,53.57363,1.9878477
8.0,50.559456,55.58073,2.0240455
9.0,51.724586,57.61678,2.0430636
10.0,52.833176,59.674282,2.0456567
11.0,53.882683,61.713337,2.0339022
12.0,54.8898,63.740646,2.0111504
13.0,55.854683,65.731155,1.9816206
14.0,56.796005,67.71247,1.9498421
15.0,57.706333,69.64816,1.919986
16.0,58.590584,71.56151,1.895142
17.0,59.447,73.43824,1.8767354
18.0,60.28689,75.32066,1.8642877
19.0,61.103157,77.1904,1.8557613
20.0,61.890617,79.03541,1.8485307
21.0,62.654102,80.8775,1.840694
22.0,63.40066,82.72838,1.8321081
23.0,64.12285,84.561676,1.8244293
24.0,64.82636,86.397,1.8200115
25.0,65.490974,88.21101,1.8204451
26.0,66.13567,90.02477,1.8257229
27.0,66.75469,91.85559,1.8343865
28.0,67.352905,93.71539,1.8441441
29.0,67.91172,95.55166,1.8524278
30.0,68.45258,97.43799,1.8567126
31.0,68.94821,99.28154,1.8547324
32.0,69.43181,101.1523,1.8446889
33.0,69.87122,102.97657,1.8255213
34.0,70.28894,104.81073,1.7971628
35.0,70.66803,106.58388,1.7606295
36.0,71.009476,108.313705,1.7179189
37.0,71.3215,110.00401,1.6715978
38.0,71.59714,111.65167,1.6242836
39.0,71.84605,113.26077,1.5781826
40.0,72.04697,114.80855,1.534831
41.0,72.23018,116.34087,1.4950627
42.0,72.35994,117.78604,1.4591012
43.0,72.46274,119.243454,1.4266784
44.0,72.52505,120.656204,1.3971254
45.0,72.55127,122.05147,1.3694625
46.0,72.53995,123.408936,1.342475
47.0,72.4915,124.71356,1.314837
48.0,72.41644,126.02571,1.2852353
49.0,72.29656,127.30847,1.2524936
50.0,72.13468,128.54333,1.2156407
51.0,71.94612,129.76305,1.1739945
52.0,71.71402,130.89478,1.1271938
53.0,71.45558,132.01865,1.0752426
54.0,71.152504,133.05255,1.0185539
55.0,70.818535,134.05093,0.9579631
56.0,70.44913,134.97112,0.8947185
57.0,70.04601,135.81665,0.8304231
58.0,69.613235,136.64996,0.7668972
59.0,69.15079,137.37198,0.7060574
60.0,68.65706,138.03537,0.6496414
61.0,68.13518,138.68398,0.5988821
62.0,67.58579,139.27867,0.5541229
63.0,67.01106,139.78212,0.5144831
64.0,66.40517,140.25723,0.47782207
65.0,65.78455,140.7384,0.44105113
66.0,65.14584,141.17268,0.40085065
67.0,64.486664,141.5413,0.35454142
68.0,63.80352,141.83907,0.3009627
69.0,63.108555,142.11435,0.24088454
70.0,62.407364,142.3405,0.17680001
71.0,61.692318,142.48972,0.112015724
72.0,60.96965,142.58197,0.04943919
73.0,60.236244,142.59616,-0.009422898
74.0,59.502464,142.56113,-0.06457853
75.0,58.76616,142.47342,-0.11681497
76.0,58.027245,142.30347,-0.16670954
77.0,57.288223,142.09868,-0.21414733
78.0,56.556755,141.86682,-0.25851953
79.0,55.831978,141.59836,-0.29918134
80.0,55.110153,141.27306,-0.3358041
81.0,54.399628,140.91988,-0.36845946
82.0,53.694717,140.51501,-0.39753652
83.0,53.003357,140.09254,-0.42360485
84.0,52.318207,139.63173,-0.44729435
85.0,51.661274,139.1901,-0.46921468
86.0,51.009583,138.67845,-0.48990047
87.0,50.38054,138.19417,-0.5097989
88.0,49.765266,137.68327,-0.5292746
89.0,49.164948,137.12622,-0.5486188
90.0,48.58068,136.53485,-0.5680617
91.0,48.018616,135.95833,-0.5877807
92.0,47.47697,135.37263,-0.60791683
93.0,46.95374,134.73825,-0.6285516
94.0,46.4552,134.14851,-0.64971864
95.0,45.9661,133.44736,-0.67136586
96.0,45.5036,132.77359,-0.6933503
97.0,45.059868,132.042,-0.71539664
98.0,44.638626,131.30751,-0.73706627
99.0,44.236313,130.58153,-0.7577059
100.0,43.849415,129.76196,-0.77638304
