t,Ip,Ii,ft
158.0,43.8563,104.16623,-8.337017
159.0,44.044445,104.18095,-8.382261
160.0,44.243355,104.21292,-8.42716
161.0,44.43506,104.25276,-8.47175
162.0,44.62846,104.30495,-8.516257
163.0,44.82811,104.35475,-8.56095
164.0,45.029808,104.39377,-8.605979
165.0,45.224365,104.46285,-8.6512985
166.0,45.426487,104.526665,-8.696748
167.0,45.62645,104.5782,-8.7421255
168.0,45.823906,104.676865,-8.787205
169.0,46.023895,104.787735,-8.83171
170.0,46.221653,104.88983,-8.875419
171.0,46.420845,105.04367,-8.91832
172.0,46.617016,105.18762,-8.9606905
173.0,46.817455,105.37556,-9.002957
174.0,47.010757,105.55614,-9.04548
175.0,47.20641,105.753525,-9.08831
176.0,47.401726,105.96588,-9.131148
177.0,47.593773,106.16489,-9.173464
178.0,47.778618,106.3418,-9.214731
179.0,47.967377,106.51421,-9.254647
180.0,48.153393,106.676636,-9.293266
181.0,48.339752,106.84998,-9.330966
182.0,48.521347,107.018295,-9.368312
183.0,48.69921,107.18155,-9.405725
184.0,48.878487,107.387985,-9.443232
185.0,49.04638,107.576996,-9.48039
186.0,49.216156,107.80973,-9.516489
187.0,49.38552,108.07626,-9.55099
188.0,49.550148,108.37091,-9.583862
189.0,49.71054,108.655624,-9.615673
190.0,49.865208,108.93842,-9.647221
191.0,50.018864,109.24873,-9.678973
192.0,50.16901,109.55746,-9.71072
193.0,50.315285,109.86034,-9.741636
194.0,50.454575,110.14871,-9.770818
195.0,50.590256,110.40801,-9.797947
196.0,50.723595,110.66485,-9.82347
197.0,50.85443,110.89728,-9.84815
198.0,50.981018,111.14746,-9.8723755
199.0,51.0995,111.35573,-9.8959255
200.0,51.212368,111.57503,-9.918346
201.0,51.327904,111.824814,-9.939449
202.0,51.433563,112.06375,-9.959452
203.0,51.53492,112.302704,-9.978681
204.0,51.63321,112.558495,-9.997245
205.0,51.72335,112.824196,-10.014918
206.0,51.814075,113.1225,-10.031316
207.0,51.895084,113.378006,-10.046133
208.0,51.97221,113.65222,-10.059289
209.0,52.046227,113.94336,-10.070927
210.0,52.111855,114.20195,-10.081316
211.0,52.176086,114.45932,-10.090738
212.0,52.234703,114.76471,-10.099396
213.0,52.290634,115.02903,-10.107372
214.0,52.339523,115.3019,-10.114628
215.0,52.380463,115.55492,-10.121034
216.0,52.423786,115.81615,-10.126408
217.0,52.45601,116.06865,-10.1305685
218.0,52.484287,116.29203,-10.133381
219.0,52.507877,116.518936,-10.134794
220.0,52.527786,116.73241,-10.134857
221.0,52.54413,116.9294,-10.133724
222.0,52.554497,117.12288,-10.131637
223.0,52.56163,117.30059,-10.12886
224.0,52.562733,117.4659,-10.125621
225.0,52.56051,117.62398,-10.121981
226.0,52.553284,117.76422,-10.117782
227.0,52.542046,117.92662,-10.112629
228.0,52.52873,118.08316,-10.106051
229.0,52.507797,118.21678,-10.097791
230.0,52.485878,118.36486,-10.08807
231.0,52.457462,118.49443,-10.077608
232.0,52.430702,118.64761,-10.067184
233.0,52.399567,118.79921,-10.057048
234.0,52.358906,118.9133,-10.046657
235.0,52.316994,119.05063,-10.035126
236.0,52.275227,119.183716,-10.022061
237.0,52.232784,119.339645,-10.007975
238.0,52.18074,119.46152,-9.993849
239.0,52.12703,119.60255,-9.980196
240.0,52.072845,119.755875,-9.96661
241.0,52.017548,119.90567,-9.952323
242.0,51.955406,120.03949,-9.936946
243.0,51.893814,120.174225,-9.920597
244.0,51.83001,120.29761,-9.903609
245.0,51.76509,120.379425,-9.886396
246.0,51.696808,120.45999,-9.86937
247.0,51.62861,120.48389,-9.852673
248.0,51.55833,120.50293,-9.835983
249.0,51.48494,120.47313,-9.8187895
250.0,51.41106,120.41866,-9.800843
251.0,51.33367,120.34073,-9.7823305
252.0,51.25902,120.29391,-9.763716
253.0,51.18352,120.235565,-9.745406
254.0,51.110043,120.24168,-9.72754
255.0,51.02717,120.20668,-9.70998
256.0,50.950867,120.23023,-9.692457
257.0,50.872448,120.25932,-9.674711
258.0,50.793,120.280396,-9.656605
259.0,50.71489,120.33524,-9.638149
260.0,50.63687,120.36954,-9.619465
261.0,50.556824,120.39046,-9.600736
262.0,50.478245,120.42099,-9.582146
263.0,50.397644,120.42224,-9.5638685
264.0,50.32405,120.44398,-9.545998
265.0,50.24336,120.42641,-9.528589
266.0,50.16712,120.412125,-9.51164
267.0,50.092625,120.390175,-9.4951
268.0,50.012905,120.33206,-9.478908
269.0,49.943455,120.30536,-9.462986
270.0,49.86799,120.23732,-9.447272
271.0,49.79507,120.16631,-9.43173
272.0,49.72402,120.08571,-9.416348
273.0,49.656425,120.01852,-9.401152
274.0,49.5867,119.91918,-9.386179
275.0,49.520874,119.82834,-9.371512
276.0,49.453323,119.713806,-9.357225
277.0,49.390507,119.61656,-9.343402
278.0,49.32632,119.487816,-9.330105
279.0,49.26249,119.367035,-9.317388
280.0,49.202324,119.237144,-9.305264
281.0,49.148045,119.14157,-9.29372
282.0,49.090553,119.01146,-9.282705
283.0,49.03739,118.8878,-9.27214
284.0,48.983456,118.77818,-9.261917
285.0,48.935745,118.67688,-9.251926
286.0,48.88581,118.57172,-9.242067
287.0,48.839325,118.4783,-9.232275
288.0,48.7881,118.39227,-9.222572
289.0,48.74552,118.308075,-9.213111
290.0,48.707504,118.24759,-9.204187
291.0,48.664806,118.18445,-9.196247
292.0,48.626762,118.14334,-9.18972
293.0,48.588715,118.10211,-9.184667
294.0,48.556522,118.079605,-9.180145
295.0,48.525623,118.04276,-9.173443
296.0,48.49077,118.01764,-9.1598
297.0,48.448105,117.971466,-9.134139
298.0,48.440613,117.93768,-9.097052
299.0,48.523094,117.860466,-9.067374
300.0,48.38681,117.70381,-9.099159
301.0,49.077805,117.70763,-9.287327
302.0,51.102753,117.80994,-9.736042
303.0,54.414192,117.92372,-10.50008
304.0,58.90539,118.34561,-11.567251
305.0,64.63826,118.98041,-12.903644
306.0,71.54649,120.004135,-14.496523
307.0,79.67948,121.38653,-16.354855
308.0,89.01004,123.26444,-18.489847
309.0,99.56973,125.74097,-20.90475
310.0,111.337006,128.89404,-23.595554
311.0,124.19069,132.95663,-26.546402
312.0,138.37083,137.9473,-29.722692
313.0,153.41248,144.06967,-33.099052
314.0,169.6239,151.11914,-36.6991
315.0,186.70653,159.22774,-40.543587
316.0,204.07465,167.92021,-44.555798
317.0,222.12846,177.3898,-48.603107
318.0,240.176,187.50943,-52.614826
319.0,258.24893,198.44263,-56.5854
320.0,275.92093,210.18524,-60.485706
321.0,292.91907,222.85663,-64.233765
322.0,308.98898,236.5212,-67.73929
323.0,323.76425,250.78767,-70.9303
324.0,337.00116,265.66666,-73.7476
325.0,348.39008,280.85544,-76.13389
326.0,357.67523,296.34613,-78.02981
327.0,364.6033,311.81174,-79.375626
328.0,369.00092,327.21753,-80.12003
329.0,370.67944,342.31674,-80.232925
330.0,369.59543,357.02917,-79.711395
331.0,365.81723,371.20462,-78.57578
332.0,359.52673,384.7031,-76.86354
333.0,350.95813,397.3835,-74.62991
334.0,340.3633,409.15222,-71.95119
335.0,328.22415,419.88092,-68.91921
336.0,314.84802,429.45984,-65.62699
337.0,300.62396,437.87845,-62.157063
338.0,285.9229,445.01233,-58.581566
339.0,270.95514,450.89664,-54.971924
340.0,256.02228,455.49695,-51.402184
341.0,241.34532,459.0175,-47.929985
342.0,227.12181,461.58002,-44.57922
343.0,213.45691,463.17432,-41.36186
344.0,200.5202,463.96957,-38.305935
345.0,188.24164,463.9406,-35.442547
346.0,176.7502,463.2195,-32.78055
347.0,166.01193,461.72925,-30.312037
348.0,156.05078,459.6352,-28.030481
349.0,146.82433,456.95654,-25.932976
350.0,138.32103,453.7358,-24.012833
351.0,130.46504,450.04044,-22.258389
352.0,123.32718,445.9389,-20.656467
353.0,116.73126,441.48297,-19.197285
354.0,110.734024,436.6469,-17.875729
355.0,105.20426,431.48965,-16.685707
356.0,100.16667,426.19815,-15.614424
357.0,95.54768,420.71252,-14.644234
358.0,91.30133,414.9651,-13.759643
359.0,87.4191,409.22192,-12.95201
360.0,83.8737,403.40414,-12.218134
361.0,80.60541,397.4168,-11.555689
362.0,77.59598,391.57013,-10.960118
363.0,74.81302,385.57574,-10.424674
364.0,72.27696,379.7489,-9.941891
365.0,69.92641,373.88492,-9.504628
366.0,67.7363,368.04437,-9.106657
367.0,65.71315,362.2535,-8.742903
368.0,63.834686,356.47348,-8.409657
369.0,62.080116,350.69888,-8.104512
370.0,60.450577,344.98212,-7.8258505
371.0,58.926785,339.29395,-7.572295
372.0,57.508713,333.7367,-7.3421397
373.0,56.179916,328.21103,-7.1331854
374.0,54.921875,322.76306,-6.94286
375.0,53.74583,317.30826,-6.7686467
376.0,52.640663,312.02118,-6.6084185
377.0,51.599434,306.76685,-6.460657
378.0,50.612762,301.57944,-6.3244085
379.0,49.688843,296.51697,-6.1990805
380.0,48.806416,291.52203,-6.084217
381.0,47.97604,286.6021,-5.979322
382.0,47.190735,281.786,-5.88376
383.0,46.44098,277.02606,-5.796771
384.0,45.73145,272.2874,-5.7175117
385.0,45.059837,267.7419,-5.6451435
386.0,44.41827,263.1923,-5.578894
387.0,43.808197,258.74792,-5.5181255
388.0,43.23278,254.3966,-5.462372
389.0,42.6822,250.09912,-5.411299
390.0,42.155994,245.92432,-5.364714
391.0,41.66034,241.84,-5.3224936
392.0,41.185394,237.80206,-5.284567
393.0,40.735806,233.9248,-5.2508693
394.0,40.308224,230.10367,-5.2213154
395.0,39.90659,226.37788,-5.195823
396.0,39.526497,222.76094,-5.1743255
397.0,39.167046,219.1745,-5.156869
398.0,38.839146,215.71765,-5.1436415
399.0,38.530956,212.28458,-5.1349845
400.0,38.252407,208.95956,-5.131375
401.0,38.00404,205.68015,-5.1333766
402.0,37.784477,202.42259,-5.1416125
403.0,37.6016,199.23462,-5.1567597
404.0,37.456635,196.1229,-5.1795483
405.0,37.357933,193.075,-5.2108026
406.0,37.302753,190.12085,-5.2514253
407.0,37.30192,187.19312,-5.3024077
408.0,37.359177,184.40645,-5.3648124
409.0,37.47547,181.65852,-5.439738
410.0,37.655968,179.05441,-5.52828
411.0,37.908348,176.55997,-5.6314783
412.0,38.23,174.1452,-5.7502637
413.0,38.633057,171.81924,-5.8854356
414.0,39.10913,169.62518,-6.0375915
415.0,39.66636,167.5053,-6.207156
416.0,40.304523,165.51834,-6.394346
417.0,41.029396,163.63794,-6.5992584
418.0,41.84137,161.8605,-6.8218403
419.0,42.731255,160.18651,-7.062042
420.0,43.7097,158.65515,-7.319769
421.0,44.774807,157.23268,-7.595001
422.0,45.927166,155.88652,-7.8877416
423.0,47.160496,154.663,-8.198036
424.0,48.47396,153.54176,-8.525856
425.0,49.874084,152.57481,-8.871119
426.0,51.360153,151.67413,-9.233505
427.0,52.921856,150.86404,-9.612564
428.0,54.56746,150.23764,-10.007597
429.0,56.28334,149.69379,-10.417906
430.0,58.078064,149.25641,-10.842703
431.0,59.952255,148.97821,-11.281483
432.0,61.88524,148.84154,-11.733837
433.0,63.881924,148.80536,-12.199535
434.0,65.94797,148.90097,-12.678067
435.0,68.07098,149.15286,-13.168502
436.0,70.251175,149.54439,-13.669198
437.0,72.473145,150.06583,-14.178253
438.0,74.74407,150.69705,-14.694181
439.0,77.04074,151.45207,-15.2159195
440.0,79.385704,152.4092,-15.742571
441.0,81.73964,153.45145,-16.272488
442.0,84.10274,154.6009,-16.803743
443.0,86.486206,155.91817,-17.334827
444.0,88.86351,157.37135,-17.864494
445.0,91.24454,158.99286,-18.39004
446.0,93.58005,160.63052,-18.907127
447.0,95.88219,162.40486,-19.412
448.0,98.151764,164.29019,-19.90382
449.0,100.374565,166.29599,-20.383148
450.0,102.526245,168.35023,-20.84871
451.0,104.60591,170.54724,-21.29633
452.0,106.58403,172.762,-21.721159
453.0,108.47223,175.0492,-22.119547
454.0,110.24393,177.37527,-22.489517
455.0,111.88264,179.73148,-22.829744
456.0,113.41227,182.14722,-23.138786
457.0,114.7776,184.5556,-23.414476
458.0,115.99284,186.94257,-23.654026
459.0,117.03624,189.36687,-23.854279
460.0,117.902466,191.78462,-24.012218
461.0,118.56801,194.18845,-24.125301
462.0,119.05203,196.61417,-24.191751
463.0,119.31196,198.94226,-24.210533
464.0,119.37843,201.31877,-24.181133
465.0,119.21887,203.58548,-24.103157
466.0,118.83537,205.79065,-23.976074
467.0,118.245056,207.93327,-23.79914
468.0,117.41267,209.93048,-23.571777
469.0,116.36174,211.82562,-23.294086
470.0,115.11059,213.56851,-22.967413
471.0,113.63796,215.12846,-22.59436
472.0,111.98253,216.53638,-22.17853
473.0,110.10672,217.71611,-21.723734
474.0,108.10285,218.76389,-21.23362
475.0,105.94517,219.63162,-20.711363
476.0,103.64574,220.30307,-20.160255
477.0,101.22566,220.80911,-19.584373
478.0,98.73845,221.20319,-18.989748
479.0,96.163086,221.42642,-18.383759
480.0,93.549225,221.51805,-17.773005
481.0,90.91557,221.50156,-17.160912
482.0,88.25689,221.34677,-16.549519
483.0,85.61147,221.01453,-15.941612
484.0,82.99643,220.5604,-15.340595
485.0,80.419235,219.92657,-14.749946
486.0,77.87637,219.10619,-14.173628
487.0,75.403625,218.14365,-13.614461
488.0,72.98665,217.04178,-13.073285
489.0,70.64444,215.77951,-12.55004
490.0,68.38349,214.35767,-12.045207
491.0,66.1958,212.80295,-11.560628
492.0,64.09929,211.14166,-11.098489
493.0,62.078014,209.36581,-10.659884
494.0,60.151825,207.48509,-10.243913
495.0,58.315895,205.5889,-9.848631
496.0,56.542313,203.55725,-9.472395
497.0,54.85555,201.49042,-9.114644
498.0,53.257305,199.38762,-8.775626
499.0,51.73624,197.27058,-8.455852
500.0,50.289795,195.11226,-8.15547
501.0,48.90961,192.90929,-7.874126
502.0,47.608765,190.72916,-7.610826
503.0,46.371124,188.4826,-7.3642473
504.0,45.198837,186.2786,-7.132962
505.0,44.091774,184.05832,-6.915902
506.0,43.050575,181.83774,-6.7124977
507.0,42.06495,179.6257,-6.5227556
508.0,41.13699,177.35619,-6.3469024
509.0,40.27442,175.1394,-6.185034
510.0,39.455666,172.89932,-6.0367327
511.0,38.695248,170.66864,-5.9012384
512.0,37.98918,168.42879,-5.7776823
513.0,37.334263,166.17886,-5.6655264
514.0,36.727787,163.95187,-5.564631
515.0,36.176506,161.72763,-5.47513
516.0,35.67285,159.56497,-5.397053
517.0,35.21734,157.41882,-5.330127
518.0,34.811363,155.29454,-5.273831
519.0,34.451355,153.26624,-5.227661
520.0,34.13862,151.26141,-5.1913304
521.0,33.87316,149.26671,-5.164851
522.0,33.652477,147.36127,-5.1483974
523.0,33.474934,145.51752,-5.1420507
524.0,33.34597,143.6954,-5.1457005
525.0,33.25929,141.92816,-5.159001
526.0,33.215973,140.17111,-5.1814966
527.0,33.211918,138.48982,-5.212719
528.0,33.25131,136.831,-5.2522364
529.0,33.328285,135.23456,-5.2997065
530.0,33.44405,133.67258,-5.354892
531.0,33.599476,132.12187,-5.4176636
532.0,33.790775,130.65802,-5.487921
533.0,34.017494,129.18637,-5.5656576
534.0,34.280357,127.82692,-5.650833
535.0,34.57421,126.45692,-5.743389
536.0,34.90486,125.19099,-5.843141
537.0,35.264507,123.96454,-5.9497614
538.0,35.65618,122.81795,-6.0627317
539.0,36.076965,121.75726,-6.18152
540.0,36.52644,120.77243,-6.3056455
541.0,37.000874,119.825325,-6.434866
542.0,37.504837,118.98696,-6.569264
543.0,38.039146,118.21268,-6.709052
544.0,38.597046,117.49926,-6.8543057
545.0,39.180542,116.843834,-7.0045786
546.0,39.784683,116.24783,-7.1588793
547.0,40.412605,115.719696,-7.316194
548.0,41.06326,115.17712,-7.4765096
549.0,41.739056,114.74576,-7.6413126
550.0,42.433987,114.34607,-7.812512
551.0,43.148632,113.98467,-7.9901214
552.0,43.882614,113.69934,-8.171521
553.0,44.631374,113.39491,-8.353617
554.0,45.4024,113.178345,-8.5357485
555.0,46.185932,113.00108,-8.71984
556.0,46.990887,112.87337,-8.908239
557.0,47.807415,112.815895,-9.101271
558.0,48.635,112.80512,-9.29698
559.0,49.475998,112.8609,-9.492709
560.0,50.33152,113.003456,-9.68723
561.0,51.189163,113.201584,-9.881372
562.0,52.065834,113.46234,-10.077014
563.0,52.945683,113.76616,-10.275473
564.0,53.833992,114.13185,-10.476683
565.0,54.728676,114.52959,-10.679485
566.0,55.623463,114.995514,-10.88241
567.0,56.519363,115.49137,-11.084305
568.0,57.418633,116.05333,-11.284516
569.0,58.318287,116.64676,-11.482857
570.0,59.21611,117.29024,-11.679361
571.0,60.110695,117.971016,-11.874128
572.0,60.99455,118.675964,-12.067169
573.0,61.879856,119.45366,-12.258341
574.0,62.750233,120.229836,-12.447319
575.0,63.608665,121.0593,-12.633665
576.0,64.45542,121.902725,-12.816837
577.0,65.29314,122.79797,-12.996296
578.0,66.11853,123.73494,-13.171496
579.0,66.92022,124.660385,-13.341997
580.0,67.70334,125.61252,-13.507345
581.0,68.46626,126.57467,-13.667219
582.0,69.211365,127.60418,-13.821282
583.0,69.924736,128.59709,-13.969253
584.0,70.60841,129.61423,-14.110816
585.0,71.27261,130.63953,-14.245672
586.0,71.910324,131.69495,-14.373484
587.0,72.513916,132.75688,-14.493914
588.0,73.08688,133.81876,-14.606613
589.0,73.61853,134.85338,-14.711242
590.0,74.112946,135.90714,-14.807474
591.0,74.568726,136.97276,-14.895014
592.0,74.993935,138.06146,-14.973618
593.0,75.38089,139.15363,-15.043061
594.0,75.720116,140.24364,-15.103172
595.0,76.02008,141.34048,-15.153776
