t,Ip,Ii,gt
156.0,43.483456,104.32992,-0.041053414
157.0,43.674286,104.278854,-0.019502878
158.0,43.865593,104.28995,-8.225441e-06
159.0,44.053482,104.301315,0.015589833
160.0,44.24225,104.34383,0.027133465
161.0,44.430817,104.35718,0.035697103
162.0,44.623962,104.420074,0.042619944
163.0,44.8207,104.45349,0.048799038
164.0,45.022488,104.5175,0.05452335
165.0,45.227753,104.54466,0.05970812
166.0,45.434044,104.63577,0.064254284
167.0,45.631355,104.67105,0.06836289
168.0,45.82897,104.760925,0.07271576
169.0,46.02854,104.83113,0.078445435
170.0,46.22465,104.882034,0.08686429
171.0,46.42185,104.99141,0.099030316
172.0,46.62209,105.10222,0.1153664
173.0,46.81905,105.23833,0.13547707
174.0,47.013313,105.36558,0.1581837
175.0,47.208584,105.55845,0.18169683
176.0,47.40278,105.73007,0.20384914
177.0,47.59276,105.95216,0.22240353
178.0,47.786343,106.19709,0.23539186
179.0,47.973335,106.421135,0.24154365
180.0,48.15724,106.64602,0.24069881
181.0,48.340298,106.90121,0.23408759
182.0,48.521263,107.14464,0.2242974
183.0,48.69952,107.365906,0.21485293
184.0,48.87959,107.55742,0.20935392
185.0,49.05337,107.77013,0.2104119
186.0,49.218815,107.97876,0.21877277
187.0,49.38499,108.21521,0.23301673
188.0,49.552155,108.42776,0.25010455
189.0,49.71542,108.69253,0.2665131
190.0,49.87298,108.97279,0.27941668
191.0,50.018326,109.25104,0.2873428
192.0,50.166004,109.53488,0.29012215
193.0,50.31265,109.803856,0.2883712
194.0,50.459866,110.100945,0.28297675
195.0,50.59999,110.36549,0.2748598
196.0,50.739075,110.65209,0.2650746
197.0,50.871826,110.88984,0.25494468
198.0,50.998825,111.13945,0.24601197
199.0,51.115494,111.3815,0.23972034
200.0,51.22577,111.626945,0.2370348
201.0,51.330048,111.83905,0.23821032
202.0,51.43477,112.08113,0.24279451
203.0,51.538155,112.345566,0.24985063
204.0,51.63912,112.5739,0.25823534
205.0,51.733524,112.81735,0.26686823
206.0,51.82355,113.100334,0.27489686
207.0,51.907623,113.37312,0.2817397
208.0,51.984283,113.649536,0.28707135
209.0,52.055435,113.91567,0.29073656
210.0,52.12318,114.193054,0.29266703
211.0,52.1886,114.50566,0.2928114
212.0,52.24946,114.80229,0.29107964
213.0,52.30266,115.09018,0.2873422
214.0,52.347134,115.34857,0.28144252
215.0,52.392044,115.62903,0.27322304
216.0,52.43173,115.88231,0.26259017
217.0,52.464252,116.12483,0.24957561
218.0,52.494408,116.37523,0.2344135
219.0,52.520893,116.602844,0.21759641
220.0,52.542385,116.82593,0.1999557
221.0,52.55289,116.993126,0.18269074
222.0,52.56452,117.16395,0.16735804
223.0,52.571598,117.32498,0.15572792
224.0,52.57203,117.48317,0.14945549
225.0,52.569828,117.6339,0.14954495
226.0,52.561115,117.774704,0.15575325
227.0,52.547657,117.93672,0.16622365
228.0,52.536304,118.12361,0.17770767
229.0,52.515266,118.288864,0.18648803
230.0,52.495594,118.47578,0.1897074
231.0,52.468555,118.67967,0.1864537
232.0,52.43887,118.85911,0.17796504
233.0,52.403526,119.02454,0.16674471
234.0,52.365063,119.19403,0.15508652
235.0,52.32389,119.33653,0.1439203
236.0,52.282635,119.50004,0.132676
237.0,52.238464,119.627594,0.120085835
238.0,52.184418,119.71309,0.10516095
239.0,52.13619,119.82289,0.087699175
240.0,52.075043,119.89259,0.06846166
241.0,52.015747,119.970825,0.049401045
242.0,51.94783,119.99981,0.033616304
243.0,51.88657,120.02725,0.024499059
244.0,51.82579,120.04811,0.024341106
245.0,51.768875,120.09886,0.033365846
246.0,51.701744,120.114105,0.04959786
247.0,51.63388,120.19829,0.06931645
248.0,51.56008,120.2612,0.08794284
249.0,51.487503,120.356445,0.10113448
250.0,51.416992,120.485664,0.10578358
251.0,51.33821,120.57349,0.100625634
252.0,51.262417,120.665634,0.08627361
253.0,51.184555,120.72882,0.06477827
254.0,51.109238,120.78538,0.038948715
255.0,51.02803,120.81062,0.0116996765
256.0,50.953808,120.81074,-0.014432669
257.0,50.873726,120.79601,-0.037525058
258.0,50.794994,120.734375,-0.056340337
259.0,50.71707,120.69113,-0.070272565
260.0,50.634842,120.5785,-0.07923126
261.0,50.556557,120.51167,-0.083521605
262.0,50.479595,120.43486,-0.083714664
263.0,50.399147,120.33266,-0.08054882
264.0,50.32067,120.25622,-0.07484263
265.0,50.243546,120.19852,-0.06741279
266.0,50.16856,120.12966,-0.059035003
267.0,50.092403,120.071075,-0.05039662
268.0,50.017796,120.03607,-0.042080402
269.0,49.941425,119.978134,-0.034557223
270.0,49.867905,119.929085,-0.028186679
271.0,49.796204,119.90251,-0.023233414
272.0,49.72717,119.88977,-0.019884348
273.0,49.658764,119.88642,-0.018260717
274.0,49.589294,119.87367,-0.018440366
275.0,49.518673,119.834625,-0.020454347
276.0,49.455,119.82556,-0.024300098
277.0,49.39061,119.788574,-0.029938102
278.0,49.32692,119.75558,-0.03728652
279.0,49.26511,119.6949,-0.046215475
280.0,49.206573,119.64545,-0.056545317
281.0,49.147682,119.57489,-0.06803912
282.0,49.09812,119.54651,-0.08039409
283.0,49.03785,119.42853,-0.09325141
284.0,48.98755,119.34112,-0.10620183
285.0,48.935417,119.223526,-0.11880565
286.0,48.88644,119.109726,-0.13062942
287.0,48.838043,118.980545,-0.14129925
288.0,48.792366,118.83897,-0.15057385
289.0,48.747215,118.67255,-0.15844703
290.0,48.70955,118.53139,-0.16524744
291.0,48.6691,118.35608,-0.17173088
292.0,48.62658,118.18546,-0.17911994
293.0,48.590702,118.01537,-0.18900204
294.0,48.553787,117.82922,-0.20299423
