t,Ip,Ii,ft
157.0,43.674286,104.278854,-8.291111
158.0,43.865593,104.28995,-8.338753
159.0,44.053482,104.301315,-8.388012
160.0,44.24225,104.34383,-8.436056
161.0,44.430817,104.35718,-8.480472
162.0,44.623962,104.420074,-8.521365
163.0,44.8207,104.45349,-8.561174
164.0,45.022488,104.5175,-8.602685
165.0,45.227753,104.54466,-8.6472225
166.0,45.434044,104.63577,-8.69418
167.0,45.631355,104.67105,-8.741823
168.0,45.82897,104.760925,-8.788532
169.0,46.02854,104.83113,-8.833607
170.0,46.22465,104.882034,-8.877312
171.0,46.42185,104.99141,-8.920321
172.0,46.62209,105.10222,-8.963154
173.0,46.81905,105.23833,-9.005967
174.0,47.013313,105.36558,-9.048688
175.0,47.208584,105.55845,-9.09122
176.0,47.40278,105.73007,-9.133484
177.0,47.59276,105.95216,-9.175356
178.0,47.786343,106.19709,-9.216583
179.0,47.973335,106.421135,-9.256918
180.0,48.15724,106.64602,-9.29637
181.0,48.340298,106.90121,-9.335286
182.0,48.521263,107.14464,-9.374094
183.0,48.69952,107.365906,-9.4128475
184.0,48.87959,107.55742,-9.450979
185.0,49.05337,107.77013,-9.487653
186.0,49.218815,107.97876,-9.522521
187.0,49.38499,108.21521,-9.5561905
188.0,49.552155,108.42776,-9.589853
189.0,49.71542,108.69253,-9.624192
190.0,49.87298,108.97279,-9.658538
191.0,50.018326,109.25104,-9.691119
192.0,50.166004,109.53488,-9.720452
193.0,50.31265,109.803856,-9.746696
194.0,50.459866,110.100945,-9.771703
195.0,50.59999,110.36549,-9.797654
196.0,50.739075,110.65209,-9.825466
197.0,50.871826,110.88984,-9.854267
198.0,50.998825,111.13945,-9.882158
199.0,51.115494,111.3815,-9.907418
200.0,51.22577,111.626945,-9.929274
201.0,51.330048,111.83905,-9.948022
202.0,51.43477,112.08113,-9.964641
203.0,51.538155,112.345566,-9.980263
204.0,51.63912,112.5739,-9.995764
205.0,51.733524,112.81735,-10.011553
206.0,51.82355,113.100334,-10.027565
207.0,51.907623,113.37312,-10.043408
208.0,51.984283,113.649536,-10.058546
209.0,52.055435,113.91567,-10.072481
210.0,52.12318,114.193054,-10.08487
211.0,52.1886,114.50566,-10.09556
212.0,52.24946,114.80229,-10.104579
213.0,52.30266,115.09018,-10.112093
214.0,52.347134,115.34857,-10.118338
215.0,52.392044,115.62903,-10.123565
216.0,52.43173,115.88231,-10.127984
217.0,52.464252,116.12483,-10.131718
218.0,52.494408,116.37523,-10.134768
219.0,52.520893,116.602844,-10.137002
220.0,52.542385,116.82593,-10.1382
221.0,52.55289,116.993126,-10.138133
222.0,52.56452,117.16395,-10.136692
223.0,52.571598,117.32498,-10.133989
224.0,52.57203,117.48317,-10.130351
225.0,52.569828,117.6339,-10.126144
226.0,52.561115,117.774704,-10.121526
227.0,52.547657,117.93672,-10.1162815
228.0,52.536304,118.12361,-10.109953
229.0,52.515266,118.288864,-10.102168
230.0,52.495594,118.47578,-10.092966
231.0,52.468555,118.67967,-10.082862
232.0,52.43887,118.85911,-10.072603
233.0,52.403526,119.02454,-10.062685
234.0,52.365063,119.19403,-10.052726
235.0,52.32389,119.33653,-10.041346
236.0,52.282635,119.50004,-10.027309
237.0,52.238464,119.627594,-10.011509
238.0,52.184418,119.71309,-9.99725
239.0,52.13619,119.82289,-9.986877
240.0,52.075043,119.89259,-9.977592
241.0,52.015747,119.970825,-9.963292
242.0,51.94783,119.99981,-9.942468
243.0,51.88657,120.02725,-9.920459
244.0,51.82579,120.04811,-9.9021435
245.0,51.768875,120.09886,-9.887134
246.0,51.701744,120.114105,-9.872656
247.0,51.63388,120.19829,-9.857014
248.0,51.56008,120.2612,-9.840071
249.0,51.487503,120.356445,-9.822397
250.0,51.416992,120.485664,-9.804552
251.0,51.33821,120.57349,-9.78681
252.0,51.262417,120.665634,-9.769137
253.0,51.184555,120.72882,-9.751347
254.0,51.109238,120.78538,-9.733257
255.0,51.02803,120.81062,-9.7148075
256.0,50.953808,120.81074,-9.696074
257.0,50.873726,120.79601,-9.677219
258.0,50.794994,120.734375,-9.658439
259.0,50.71707,120.69113,-9.63988
260.0,50.634842,120.5785,-9.621635
261.0,50.556557,120.51167,-9.603723
262.0,50.479595,120.43486,-9.586118
263.0,50.399147,120.33266,-9.568771
264.0,50.32067,120.25622,-9.551627
265.0,50.243546,120.19852,-9.534646
266.0,50.16856,120.12966,-9.517797
267.0,50.092403,120.071075,-9.501064
268.0,50.017796,120.03607,-9.484446
269.0,49.941425,119.978134,-9.4679575
270.0,49.867905,119.929085,-9.451629
271.0,49.796204,119.90251,-9.435524
272.0,49.72717,119.88977,-9.419709
273.0,49.658764,119.88642,-9.404281
274.0,49.589294,119.87367,-9.389326
