t,Ip,Ii,gt
155.0,43.289806,104.26346,-0.032170296
156.0,43.47356,104.23227,-0.021056056
157.0,43.660934,104.237144,-0.01232326
158.0,43.852627,104.21479,-0.0045261383
159.0,44.044395,104.22626,0.0034766197
160.0,44.23703,104.233246,0.0124441385
161.0,44.43294,104.26991,0.022756338
162.0,44.627487,104.29838,0.034446955
163.0,44.824245,104.32329,0.047273517
164.0,45.024975,104.38321,0.060783267
165.0,45.223152,104.41745,0.07440114
166.0,45.423157,104.53255,0.08752489
167.0,45.6217,104.61864,0.0996232
168.0,45.818398,104.71011,0.110334754
169.0,46.01774,104.83714,0.119561374
170.0,46.219986,104.96246,0.12751126
171.0,46.414246,105.09262,0.1346916
172.0,46.614574,105.21511,0.14180899
173.0,46.808006,105.36263,0.14958334
174.0,47.007317,105.51132,0.15849161
175.0,47.198822,105.696236,0.16853344
176.0,47.393837,105.86354,0.17909133
177.0,47.585365,106.04511,0.18903708
178.0,47.774956,106.24895,0.1970793
179.0,47.96215,106.44327,0.20231062
180.0,48.148335,106.6406,0.20476419
181.0,48.33233,106.85112,0.20566493
182.0,48.513153,107.06235,0.20713878
183.0,48.69116,107.259155,0.21143037
184.0,48.866795,107.48511,0.21992838
185.0,49.04149,107.70839,0.23236758
186.0,49.209557,107.93267,0.24647921
187.0,49.377243,108.18581,0.2584262
188.0,49.542213,108.451485,0.2642547
189.0,49.700813,108.713326,0.2618388
190.0,49.855526,108.95712,0.25214422
191.0,50.00948,109.207855,0.2389772
192.0,50.161148,109.43319,0.2274198
193.0,50.308,109.66702,0.22181267
194.0,50.44713,109.86142,0.22422361
195.0,50.588898,110.10562,0.23402047
196.0,50.72105,110.344635,0.24858451
197.0,50.84994,110.59859,0.26466072
198.0,50.972343,110.85406,0.27951193
199.0,51.095512,111.14351,0.29144412
200.0,51.209976,111.433914,0.29970092
201.0,51.323307,111.74783,0.3040756
202.0,51.429794,112.04752,0.304658
203.0,51.532944,112.35846,0.3017183
204.0,51.628445,112.63971,0.2957518
205.0,51.723007,112.93631,0.28746748
206.0,51.80968,113.21103,0.27776837
207.0,51.892387,113.48508,0.26760435
208.0,51.967545,113.744774,0.2578023
209.0,52.038986,113.9828,0.24895412
210.0,52.110268,114.25406,0.2413758
211.0,52.172386,114.47739,0.23515975
212.0,52.232944,114.71735,0.23030007
213.0,52.28695,114.948044,0.2267958
214.0,52.332813,115.15155,0.22474372
215.0,52.37355,115.365555,0.22430587
216.0,52.41597,115.610565,0.22558022
217.0,52.44887,115.83187,0.22841942
218.0,52.479443,116.05816,0.23228133
219.0,52.50348,116.29414,0.2362119
220.0,52.52016,116.51923,0.23895705
221.0,52.540474,116.76761,0.23926497
222.0,52.548817,116.98248,0.23617339
223.0,52.557358,117.231834,0.22923696
224.0,52.554054,117.425964,0.21862066
225.0,52.552605,117.63904,0.20507109
226.0,52.54658,117.84728,0.18976247
227.0,52.535927,118.0329,0.17409801
228.0,52.519493,118.19275,0.15948486
229.0,52.503044,118.34174,0.14712465
230.0,52.476112,118.46558,0.13784218
231.0,52.45074,118.597855,0.13198936
232.0,52.421295,118.72623,0.12938535
233.0,52.385727,118.843376,0.1293869
234.0,52.348312,118.97397,0.13099289
235.0,52.310978,119.11039,0.13300443
236.0,52.263832,119.22141,0.13416523
237.0,52.218395,119.3642,0.13317966
238.0,52.172092,119.49974,0.12871224
239.0,52.11955,119.61408,0.11950439
240.0,52.06357,119.73593,0.104851305
241.0,52.00335,119.82205,0.085414946
242.0,51.947506,119.90633,0.06375551
243.0,51.88743,119.956985,0.044043243
244.0,51.81907,119.98624,0.0307675
245.0,51.75431,120.01405,0.027072012
246.0,51.68943,120.04794,0.03342825
247.0,51.61594,120.07239,0.04731053
248.0,51.547596,120.12848,0.06400108
249.0,51.478592,120.21678,0.07816464
250.0,51.403297,120.29032,0.08549571
251.0,51.3309,120.37451,0.083813965
252.0,51.251984,120.44176,0.07328552
253.0,51.177864,120.50145,0.055906117
254.0,51.10366,120.568085,0.034569144
255.0,51.022015,120.57962,0.012186289
256.0,50.94636,120.599495,-0.008885384
257.0,50.867344,120.58174,-0.027055979
258.0,50.786575,120.52609,-0.041457415
259.0,50.71084,120.48751,-0.051778316
260.0,50.630424,120.425674,-0.05810094
261.0,50.549713,120.35452,-0.060764074
262.0,50.471485,120.31473,-0.060284674
263.0,50.39386,120.253075,-0.05729848
264.0,50.316895,120.21272,-0.052522838
265.0,50.236954,120.13571,-0.046717346
266.0,50.16123,120.10426,-0.04064077
267.0,50.08496,120.06451,-0.035015643
268.0,50.012337,120.04469,-0.03048253
269.0,49.938232,120.01225,-0.027573466
270.0,49.862576,119.97012,-0.026688337
271.0,49.79135,119.94127,-0.028080702
272.0,49.720932,119.92874,-0.031859875
273.0,49.64937,119.88063,-0.037994742
274.0,49.583534,119.86551,-0.046334267
275.0,49.517014,119.817505,-0.056619525
276.0,49.450127,119.75364,-0.06850767
277.0,49.384853,119.6809,-0.081587076
278.0,49.320644,119.57877,-0.095388055
279.0,49.260708,119.47947,-0.10938758
280.0,49.20062,119.37444,-0.12300545
281.0,49.142532,119.24846,-0.13559431
282.0,49.086735,119.124115,-0.14640278
283.0,49.033195,118.97022,-0.15455765
284.0,48.980804,118.814026,-0.1589933
285.0,48.92996,118.658554,-0.15841353
286.0,48.880108,118.503136,-0.15121174
287.0,48.834614,118.37568,-0.13539922
288.0,48.78976,118.26979,-0.10855532
289.0,48.74299,118.170845,-0.067807436
290.0,48.696487,118.13153,-0.009921193
291.0,48.65935,118.15772,0.0683558
292.0,48.624607,118.296936,0.16947114
293.0,48.593758,118.5215,0.29338527
294.0,48.554504,118.88303,0.43458712
295.0,48.517975,119.38782,0.57778823
296.0,48.485588,120.02841,0.69381505
297.0,48.462185,120.772125,0.7403849
298.0,48.446396,121.48734,0.673876
299.0,48.457363,122.06712,0.47230202
300.0,48.387928,122.48812,0.15716672
301.0,48.89897,122.49608,-0.20121819
302.0,51.141815,121.84239,-0.5010648
303.0,54.39412,121.37576,-0.6425992
304.0,58.981773,120.7328,-0.5592673
305.0,64.6841,120.31777,-0.22918153
306.0,71.53743,120.376816,0.33244884
307.0,79.598816,121.13136,1.0879432
308.0,88.96866,122.65645,1.9864405
309.0,99.53022,125.15373,2.9625525
310.0,111.322876,128.60287,3.9398673
311.0,124.12776,133.00801,4.8565664
312.0,138.30347,138.34378,5.6970844
313.0,153.42522,144.44395,6.4952307
314.0,169.59644,151.30287,7.2999983
315.0,186.44466,159.08588,8.13716
316.0,204.15184,167.70624,9.002135
317.0,221.96277,177.13394,9.8766365
318.0,240.07751,187.47589,10.743068
319.0,258.05908,198.58484,11.587525
320.0,275.80063,210.63475,12.396617
321.0,292.8023,223.398,13.154388
322.0,308.87714,236.9477,13.841603
323.0,323.67514,251.1249,14.437131
324.0,336.89062,265.83636,14.920065
325.0,348.27087,280.90347,15.271508
326.0,357.54953,296.27194,15.47534
327.0,364.49326,311.8385,15.517893
328.0,368.9043,327.32877,15.387542
329.0,370.55685,342.5733,15.075741
330.0,369.4813,357.4321,14.580561
331.0,365.70343,371.7249,13.911406
332.0,359.3805,385.29163,13.090406
333.0,350.79822,397.9131,12.147446
334.0,340.2208,409.53284,11.112702
335.0,328.1073,420.14954,10.012048
336.0,314.69174,429.57257,8.866592
337.0,300.43787,437.92044,7.6950045
338.0,285.7423,444.92627,6.517135
339.0,270.7975,450.9091,5.3563557
340.0,255.96971,455.63376,4.234068
341.0,241.33517,459.36273,3.1557755
342.0,227.0587,461.86353,2.1078672
343.0,213.35849,463.40918,1.0878358
344.0,200.41446,464.0748,0.14951146
345.0,188.16867,463.77072,-0.6431607
346.0,176.73952,462.81357,-1.3239815
347.0,165.98071,461.17593,-1.951952
348.0,156.00378,458.927,-2.5339777
349.0,146.85506,456.14337,-3.060311
350.0,138.321,452.8031,-3.533484
351.0,130.5401,449.04276,-3.9602757
352.0,123.33549,444.8244,-4.3394213
353.0,116.777756,440.34625,-4.664239
354.0,110.76747,435.565,-4.9313183
355.0,105.264015,430.51273,-5.144065
356.0,100.21507,425.29138,-5.310741
357.0,95.58424,419.98682,-5.4413233
358.0,91.33,414.4411,-5.545279
359.0,87.45198,408.85452,-5.6303616
360.0,83.90864,403.19037,-5.702126
361.0,80.64165,397.42413,-5.763854
362.0,77.62336,391.6198,-5.8166475
363.0,74.857254,385.815,-5.8596554
364.0,72.30348,379.92303,-5.890568
365.0,69.943085,374.04822,-5.9064994
366.0,67.75757,368.14282,-5.9049597
367.0,65.73599,362.24973,-5.8846536
368.0,63.852997,356.3678,-5.845778
369.0,62.09958,350.56738,-5.789935
370.0,60.466026,344.81342,-5.719797
371.0,58.945137,339.15195,-5.638759
372.0,57.52414,333.56613,-5.5505753
373.0,56.19217,328.01154,-5.4590545
374.0,54.94234,322.65732,-5.367691
375.0,53.760746,317.26627,-5.2793083
376.0,52.654926,312.03827,-5.195799
377.0,51.613136,306.8982,-5.1179748
378.0,50.62792,301.8365,-5.04568
379.0,49.696033,296.79004,-4.9779797
380.0,48.821785,291.84616,-4.913514
381.0,47.990215,286.97586,-4.850756
382.0,47.20351,282.20447,-4.7882648
383.0,46.45295,277.41205,-4.7248225
384.0,45.74389,272.7556,-4.6594806
385.0,45.070595,268.1546,-4.59157
386.0,44.425587,263.5657,-4.520688
387.0,43.818203,259.1109,-4.446645
388.0,43.243103,254.6756,-4.3694243
389.0,42.690224,250.37267,-4.289168
390.0,42.163673,246.06854,-4.206108
391.0,41.665985,241.94547,-4.1205845
392.0,41.190983,237.85605,-4.032969
393.0,40.739746,233.8605,-3.943688
394.0,40.31358,229.98941,-3.8531842
395.0,39.910824,226.17786,-3.7619054
396.0,39.52974,222.46019,-3.670289
397.0,39.173847,218.83815,-3.5787525
398.0,38.839813,215.29298,-3.4876952
399.0,38.534035,211.87311,-3.3974864
400.0,38.25301,208.5249,-3.3085039
401.0,38.000774,205.275,-3.221116
402.0,37.784145,202.09691,-3.1357431
403.0,37.604115,199.05643,-3.052869
404.0,37.458782,196.01443,-2.9730265
405.0,37.360287,193.1057,-2.8967848
406.0,37.30472,190.2633,-2.8246074
407.0,37.30265,187.47647,-2.7567081
408.0,37.35807,184.77377,-2.692796
409.0,37.47214,182.11049,-2.631864
410.0,37.654476,179.53333,-2.5719934
411.0,37.907097,176.99571,-2.5103812
412.0,38.228542,174.5411,-2.4434798
413.0,38.627605,172.16357,-2.3674111
414.0,39.104893,169.84296,-2.2785263
415.0,39.66219,167.62741,-2.1741304
416.0,40.30274,165.53607,-2.053261
417.0,41.02563,163.55289,-1.917306
418.0,41.833282,161.71179,-1.7703903
419.0,42.729527,160.037,-1.619035
420.0,43.708263,158.50085,-1.4710624
421.0,44.77176,157.13052,-1.333729
422.0,45.91981,155.85463,-1.2117478
423.0,47.155235,154.71286,-1.1059647
424.0,48.465965,153.65636,-1.0133799
425.0,49.870686,152.68861,-0.928313
426.0,51.348938,151.8008,-0.84420204
427.0,52.915573,150.99084,-0.7551371
428.0,54.555233,150.28418,-0.6568881
429.0,56.27675,149.70183,-0.54718137
430.0,58.06698,149.19777,-0.4256016
431.0,59.935154,148.84564,-0.29312456
432.0,61.86801,148.61499,-0.15166569
433.0,63.8646,148.52394,-0.0035270452
434.0,65.9326,148.62755,0.14893079
435.0,68.063225,148.85233,0.30357772
436.0,70.23469,149.2178,0.45853382
437.0,72.4714,149.7977,0.6121054
438.0,74.727066,150.46999,0.7626902
439.0,77.02598,151.27957,0.9086219
440.0,79.3687,152.28038,1.0482885
441.0,81.71386,153.39243,1.1802297
442.0,84.07197,154.61441,1.3034252
443.0,86.456856,155.98201,1.4174199
444.0,88.83835,157.46835,1.5224141
445.0,91.19653,159.04987,1.6191394
446.0,93.544235,160.72978,1.7087592
447.0,95.85193,162.4701,1.7927263
448.0,98.109146,164.27914,1.8727366
449.0,100.33386,166.22278,1.9506762
450.0,102.47871,168.20604,2.0285797
451.0,104.53734,170.25124,2.108187
452.0,106.54025,172.42966,2.1899085
453.0,108.427414,174.66516,2.2713745
454.0,110.19057,176.96182,2.347046
455.0,111.85101,179.33484,2.4101548
456.0,113.365295,181.76448,2.456431
457.0,114.74437,184.28302,2.4860792
458.0,115.94565,186.74771,2.5019395
459.0,116.988525,189.25298,2.5060844
460.0,117.85616,191.76216,2.4981022
461.0,118.53125,194.24902,2.4755683
462.0,119.013535,196.70709,2.4355903
463.0,119.28174,199.10854,2.3764958
464.0,119.34065,201.42937,2.299011
465.0,119.18063,203.706,2.2063327
466.0,118.79758,205.87921,2.103121
467.0,118.18811,207.90181,1.9938134
468.0,117.36926,209.85217,1.8811688
469.0,116.34088,211.71066,1.7655416
470.0,115.06649,213.40344,1.645174
471.0,113.59956,214.97543,1.5171187
472.0,111.9277,216.42601,1.378501
473.0,110.091354,217.75064,1.2274678
474.0,108.06709,218.87576,1.0637485
475.0,105.900024,219.82462,0.8886163
476.0,103.60095,220.62943,0.7045492
477.0,101.20468,221.26384,0.5146475
478.0,98.698105,221.63109,0.32220662
479.0,96.14586,221.9081,0.1303699
480.0,93.52179,221.89621,-0.05790198
481.0,90.88374,221.7457,-0.23983479
482.0,88.23295,221.43393,-0.4125296
483.0,85.58864,220.92801,-0.5728648
484.0,82.965195,220.26599,-0.7175096
485.0,80.38194,219.4708,-0.8438421
486.0,77.84593,218.5887,-0.95172447
487.0,75.36087,217.57791,-1.0460684
488.0,72.958,216.50006,-1.1378307
489.0,70.61279,215.27338,-1.2408645
490.0,68.35703,213.99753,-1.3644191
491.0,66.175865,212.54903,-1.5068026
492.0,64.07782,210.96814,-1.6565689
493.0,62.054787,209.24634,-1.7992799
494.0,60.12054,207.42358,-1.9230739
495.0,58.287945,205.44342,-2.0199451
496.0,56.52888,203.40594,-2.085033
497.0,54.844913,201.26352,-2.116462
498.0,53.232605,199.13237,-2.1166706
499.0,51.70541,197.044,-2.0945444
500.0,50.256294,194.96611,-2.0667024
501.0,48.884785,192.8669,-2.0548275
502.0,47.589077,190.82108,-2.0763943
503.0,46.352406,188.716,-2.1337857
504.0,45.175846,186.52496,-2.212223
505.0,44.066303,184.27551,-2.288429
506.0,43.022938,181.93663,-2.3424037
507.0,42.046062,179.59946,-2.3647327
508.0,41.12439,177.23898,-2.3572502
509.0,40.25535,174.89978,-2.3290763
510.0,39.43788,172.61018,-2.2914517
511.0,38.674965,170.34799,-2.2536974
512.0,37.97088,168.12619,-2.2210984
513.0,37.324875,165.93575,-2.1947126
514.0,36.72511,163.76428,-2.1724336
515.0,36.172153,161.63654,-2.150537
516.0,35.664574,159.47876,-2.1250908
517.0,35.210888,157.38593,-2.093
518.0,34.806736,155.33711,-2.052667
519.0,34.44781,153.31546,-2.0042293
520.0,34.13354,151.34795,-1.9495735
521.0,33.86656,149.42078,-1.8919387
522.0,33.64845,147.56854,-1.8352749
523.0,33.476936,145.75943,-1.7833216
524.0,33.344257,144.01411,-1.73871
525.0,33.25567,142.28091,-1.70224
526.0,33.208534,140.61278,-1.6728162
527.0,33.207684,138.95459,-1.6478822
528.0,33.245934,137.33475,-1.6243135
529.0,33.326805,135.71092,-1.5992627
530.0,33.443428,134.10541,-1.5706397
531.0,33.5991,132.56215,-1.5372324
532.0,33.78882,131.05649,-1.4984936
533.0,34.015484,129.58542,-1.4543474
534.0,34.27846,128.1471,-1.405011
535.0,34.575184,126.76268,-1.3508773
536.0,34.902534,125.45892,-1.2924724
537.0,35.26291,124.17745,-1.2303579
538.0,35.65106,122.9892,-1.1651249
539.0,36.074738,121.859375,-1.0973318
540.0,36.525684,120.804214,-1.027523
541.0,37.00723,119.800964,-0.9562452
542.0,37.51121,118.920135,-0.884079
543.0,38.040714,118.061905,-0.8116729
544.0,38.598625,117.29406,-0.73974824
545.0,39.18389,116.56851,-0.6691021
546.0,39.787018,115.95819,-0.6005206
547.0,40.41487,115.41267,-0.53468215
548.0,41.06583,114.90829,-0.4720248
549.0,41.741676,114.45733,-0.41260195
550.0,42.436214,114.102875,-0.35601914
551.0,43.146023,113.7747,-0.30150163
552.0,43.880672,113.4953,-0.24811351
553.0,44.63544,113.30502,-0.19508749
554.0,45.403984,113.16197,-0.14204365
555.0,46.185516,113.054535,-0.08911401
556.0,46.983646,112.982956,-0.036673427
557.0,47.8005,112.991104,0.0148694515
558.0,48.62952,113.00763,0.065330446
559.0,49.470787,113.08534,0.1147424
560.0,50.323128,113.22687,0.1632368
561.0,51.18312,113.44679,0.21083248
562.0,52.05381,113.68536,0.2573223
563.0,52.936596,113.994095,0.30230296
564.0,53.818596,114.33696,0.34536517
565.0,54.71313,114.68811,0.38647974
566.0,55.60543,115.13859,0.4264083
567.0,56.504402,115.529755,0.4667902
568.0,57.404022,116.03023,0.5095732
569.0,58.300217,116.58533,0.55603075
570.0,59.191193,117.17769,0.6060596
571.0,60.082687,117.80458,0.65829366
572.0,60.97394,118.514786,0.7107796
573.0,61.856968,119.24709,0.761666
574.0,62.728024,120.04354,0.80955553
575.0,63.586494,120.86568,0.85357594
576.0,64.43141,121.71369,0.89326286
577.0,65.26895,122.62924,0.9284439
578.0,66.08757,123.60249,0.9591203
579.0,66.8889,124.539,0.9854289
580.0,67.67249,125.57228,1.0075908
581.0,68.43424,126.570435,1.0259081
582.0,69.18295,127.62093,1.0407368
583.0,69.895485,128.70903,1.0524644
584.0,70.57995,129.69891,1.0614848
585.0,71.24019,130.72058,1.0681751
586.0,71.868675,131.82213,1.0728806
587.0,72.47119,132.91699,1.0759003
588.0,73.05144,134.02615,1.0774865
589.0,73.57672,135.07222,1.0778384
590.0,74.08214,136.16151,1.0771072
591.0,74.54274,137.20389,1.0753957
592.0,74.962265,138.24094,1.0727522
593.0,75.34804,139.3479,1.0691756
594.0,75.68783,140.41817,1.0645995
595.0,75.986626,141.47256,1.0588888
596.0,76.24927,142.55545,1.0518289
597.0,76.46338,143.59982,1.0431287
598.0,76.624954,144.60733,1.0324185
599.0,76.7561,145.66403,1.0192783
600.0,76.83867,146.6838,1.0032579
601.0,76.86717,147.64761,0.98393023
602.0,76.847916,148.61844,0.96092856
603.0,76.790596,149.60446,0.9339982
604.0,76.68231,150.5037,0.9030184
605.0,76.52031,151.38132,0.8680206
606.0,76.32234,152.22101,0.8291721
607.0,76.07611,153.03638,0.7867575
608.0,75.785866,153.8128,0.7411186
609.0,75.44876,154.52635,0.69262314
610.0,75.07208,155.18478,0.64163053
611.0,74.64882,155.8042,0.5885376
612.0,74.18932,156.3739,0.53385544
613.0,73.69108,156.8824,0.47832644
614.0,73.16005,157.35883,0.42291987
615.0,72.57951,157.7279,0.36867845
616.0,71.98202,158.08737,0.31637442
617.0,71.34355,158.36751,0.26612115
618.0,70.68483,158.62607,0.21720856
619.0,69.990005,158.81058,0.16824752
620.0,69.28392,158.95116,0.11767626
621.0,68.54004,159.03317,0.06442791
622.0,67.79028,159.06677,0.008649111
623.0,67.029854,159.06381,-0.047824323
624.0,66.23509,158.93823,-0.10147184
625.0,65.44771,158.79837,-0.1479972
626.0,64.645805,158.64493,-0.18400413
627.0,63.830437,158.41669,-0.20886981
628.0,63.0235,158.22076,-0.22572792
629.0,62.210213,157.96774,-0.2408855
630.0,61.39917,157.69603,-0.26175225
631.0,60.590973,157.4338,-0.29421556
632.0,59.790936,157.11603,-0.3406092
633.0,59.00119,156.75952,-0.39917767
634.0,58.21141,156.31503,-0.46511114
635.0,57.44512,155.81729,-0.53259695
636.0,56.682667,155.23586,-0.596902
637.0,55.93591,154.5946,-0.6556649
638.0,55.20827,153.90259,-0.7088693
639.0,54.50001,153.18594,-0.75766045
640.0,53.797592,152.44049,-0.80283064
641.0,53.125263,151.61646,-0.84390956
642.0,52.480896,150.794,-0.87924546
643.0,51.844387,149.86853,-0.90680087
644.0,51.228653,148.94073,-0.92493916
645.0,50.648865,148.05577,-0.93280005
646.0,50.070076,147.08133,-0.93017364
647.0,49.523678,146.20236,-0.9170824
648.0,49.02874,145.27632,-0.89327633
649.0,48.522793,144.42609,-0.8579842
650.0,48.05977,143.64241,-0.8098254
651.0,48.040646,142.8303,-0.74678147
652.0,48.716442,142.16357,-0.66593575
653.0,50.15843,141.54317,-0.56348693
654.0,52.193947,141.06273,-0.43553877
655.0,54.743496,140.7239,-0.27931434
656.0,57.804802,140.53326,-0.0937137
657.0,61.331757,140.53076,0.12117314
658.0,65.32211,140.80019,0.36486894
659.0,69.74282,141.30304,0.63673085
660.0,74.57307,142.10852,0.93586636
661.0,79.808624,143.20706,1.2606446
662.0,85.427765,144.63544,1.608563
663.0,91.46352,146.45381,1.9760433
664.0,97.82297,148.612,2.3587928
665.0,104.523834,151.17679,2.7519264
666.0,111.549194,154.14273,3.1505017
667.0,118.79328,157.48724,3.549709
668.0,126.30731,161.23563,3.9452405
669.0,134.01654,165.38513,4.3335795
670.0,141.86963,169.93732,4.711995
671.0,149.75948,174.82193,5.078698
672.0,157.65546,180.07019,5.432453
673.0,165.47949,185.69186,5.772234
674.0,173.14996,191.63918,6.0964923
675.0,180.57138,197.88428,6.4028134
676.0,187.6503,204.41885,6.6871324
677.0,194.30162,211.25491,6.9436784
678.0,200.4292,218.28452,7.164973
679.0,205.92874,225.5519,7.3425245
680.0,210.70473,232.93527,7.4678926
681.0,214.69267,240.44443,7.5340047
682.0,217.81929,247.97852,7.5360203
683.0,219.97742,255.51318,7.471562
684.0,221.07791,262.877,7.3404512
685.0,221.1923,270.13812,7.144194
686.0,220.24344,277.16623,6.8855834
687.0,218.25305,283.87158,6.568341
