Epoch,kb,kg
0.0,0.5001000165939331,0.4999000132083893
1000.0,0.501761257648468,0.48751574754714966
2000.0,0.4931533932685852,0.48697417974472046
3000.0,0.48892730474472046,0.48704421520233154
4000.0,0.4752046763896942,0.4874889552593231
5000.0,0.4442298114299774,0.4882155656814575
6000.0,0.39079710841178894,0.4892573058605194
7000.0,0.3191240429878235,0.49086761474609375
8000.0,0.24468761682510376,0.4934801757335663
9000.0,0.18578118085861206,0.4975909888744354
10000.0,0.15408627688884735,0.5037813782691956
11000.0,0.14540864527225494,0.5130841732025146
12000.0,0.14489440619945526,0.5269689559936523
13000.0,0.14565609395503998,0.546768844127655
14000.0,0.14662183821201324,0.5729283094406128
15000.0,0.14754314720630646,0.6042819619178772
16000.0,0.14842869341373444,0.6379261016845703
17000.0,0.14905264973640442,0.6697468757629395
18000.0,0.14957162737846375,0.695314347743988
19000.0,0.149836003780365,0.7113075852394104
20000.0,0.1499515175819397,0.7179990410804749
21000.0,0.14996470510959625,0.7197361588478088
22000.0,0.14990101754665375,0.7197824716567993
23000.0,0.14999084174633026,0.7199043035507202
24000.0,0.1499909609556198,0.7199894785881042
25000.0,0.14997777342796326,0.7200815677642822
26000.0,0.14996552467346191,0.7197697758674622
27000.0,0.14992940425872803,0.7199404239654541
28000.0,0.14999450743198395,0.7200390100479126
29000.0,0.14999543130397797,0.7200835943222046
30000.0,0.14999130368232727,0.7198768258094788
31000.0,0.1499880999326706,0.7197745442390442
32000.0,0.1500006467103958,0.7200655341148376
33000.0,0.14999815821647644,0.719889223575592
34000.0,0.14998997747898102,0.7199658155441284
35000.0,0.14999821782112122,0.7199932932853699
36000.0,0.14999806880950928,0.7199406623840332
37000.0,0.14999666810035706,0.719828188419342
38000.0,0.14999912679195404,0.7199358344078064
39000.0,0.14996932446956635,0.7195684909820557
40000.0,0.14999550580978394,0.7197736501693726
41000.0,0.14999832212924957,0.7197787165641785
42000.0,0.15000273287296295,0.7199556231498718
43000.0,0.14999771118164062,0.719778835773468
44000.0,0.1499982476234436,0.7198231816291809
45000.0,0.1499977856874466,0.7198114395141602
46000.0,0.15000316500663757,0.7197967171669006
47000.0,0.1499977856874466,0.7197994589805603
48000.0,0.14999763667583466,0.7196803092956543
49000.0,0.14999768137931824,0.7198548913002014
